MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,MOVALUE,MOTILALAMC - MOVALUE,       106.04,       105.99,       107.50,       104.04,       107.05,                 11867883.22,111970,1468,       114.10,        60.04,MOTILAL OSWAL S&P BSE ENHANCED VALUE ETF
N,EQ,MULTICAP,MIRAEAMC - MULTICAP,        16.40,        16.25,        16.46,        16.07,        16.43,                  1734681.73,106168,880,        17.55,        16.00,NIFTY500 MULTICAP 50:25:25 TOTAL RETURN INDEX
N,EQ,NAVINIFTY,NAVIAMC - NAVINIFTY,       303.62,       302.00,       302.60,       291.40,       302.60,                   134359.03,446,35,       312.62,       189.00,NIFTY 50 INDEX
N,EQ,NETF,TATAAML - NETF,       264.32,       261.00,       266.00,       261.00,       265.69,                  5811108.43,21885,198,       282.96,       199.00,NIFTY 50
N,EQ,NEXT50,MIRAEAMC - MANXT50,       752.39,       767.44,       767.44,       743.20,       755.46,                 10281210.63,13640,588,       899.00,       431.00,NIFTY NEXT 50
N,EQ,NEXT50IETF,ICICIPRAMC - ICICINXT50,        77.08,        77.00,        77.58,        76.02,        77.39,                 32090890.17,417035,4874,        81.64,        43.75,NIFTY NEXT 50 ETF
N,EQ,NIF100BEES,NIP IND ETF NIFTY 100,       270.98,       270.93,       273.48,       268.31,       271.74,                 21649942.91,80153,812,       289.98,       196.00,NIFTY 100
N,EQ,NIF100IETF,ICICI PRUD NIFTY 100 ETF,        28.49,        28.40,        28.70,        28.20,        28.54,                  3051463.65,107412,1836,       267.55,        24.89,NIFTY 100
N,EQ,NIF10GETF,UTIAMC - NIF10GETF,        24.15,        24.44,        24.44,        24.12,        24.27,                    12332.63,508,24,        27.30,        21.60,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,NIF5GETF,UTIAMC - NIF5GETF,        58.53,        58.51,        58.59,        58.45,        58.59,                    79729.09,1363,8,        66.14,        53.20,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,NIFITETF,UTIAMC - NIFITETF,       430.62,       427.65,       427.65,       422.13,       426.04,                   254931.96,599,38,       450.00,       321.68,NIFTY IT TRI
N,EQ,NIFMID150,UTIAMC - NIFMID150,       219.25,       221.90,       221.90,       215.58,       218.82,                   167354.32,770,68,       232.80,       141.57,NIFTY MIDCAP 150
N,EQ,NIFTY1,KOTAK NIFTY ETF,       269.25,       269.24,       271.73,       267.29,       271.37,                213406407.74,786990,1072,       287.68,       202.89,NIFTY 50
N,EQ,NIFTY50ADD,DSPAMC - DSPN50ETF,       255.87,       256.01,       257.34,       252.89,       256.62,                  2347663.96,9167,294,       275.64,       192.76,NIFTY 50 INDEX
