GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
G,SEC RE NCD 9.71% SR VIII,       950.00,       840.00,13.1
G,NALWA SONS INVESTMENT LTD,      7048.20,      6251.50,12.74
G,PENNAR INDUSTRIES LTD,       207.39,       185.87,11.58
G,MOTILAL OSWAL FIN LTD,      1029.70,       929.40,10.79
G,AMIABLE LOGISTICS (I) LTD,        88.00,        79.85,10.21
G,ABM INTERNATIONAL LTD,        68.10,        61.91,10
G,ARVEE LABORATORIES I LTD,       194.88,       177.17,10
G,RAMDEVBABA SOLVENT LTD,       117.10,       106.60,9.85
G,VISHNU PRAKASH R PUNGLI L,       312.90,       285.05,9.77
G,PEARL POLYMERS LTD,        39.58,        36.07,9.73
G,ORIENTAL AROMATICS LTD,       544.60,       496.45,9.7
G,NDL VENTURES LIMITED,       121.37,       110.68,9.66
G,JIWANRAM SHEODUTTRA IND L,        18.00,        16.45,9.42
G,PILANI INV & IND COR LTD,      6280.05,      5743.15,9.35
G,MARSHALL MACHINES LTD,        34.14,        31.32,9
G,BANARAS BEADS LTD,       144.24,       132.34,8.99
G,OWAIS METAL & MINERAL,      1350.00,      1239.00,8.96
G,HIND RECTIFIER LIMITED,      1161.70,      1067.90,8.78
G,AKSH OPTIFIBRE LIMITED,        11.16,        10.26,8.77
G,VARDHMAN HOLDINGS LIMITED,      4419.95,      4071.35,8.56
G,SPECTRUM ELECTRIC IND LTD,      1668.20,      1538.00,8.47
G,FROG CELLSAT LIMITED,       373.40,       344.50,8.39
G,KHFM HOS FAC MANA SER LTD,       108.50,       100.25,8.23
G,AJMERA REALTY & INF I LTD,       868.95,       804.85,7.96
G,KOPRAN LTD,       320.00,       298.80,7.1
G,SAMBHAAV MEDIA LTD,         5.89,         5.50,7.09
G,SEC RE NCD 9.90% SR IV,       745.38,       697.29,6.9
 , , , , 
L,MANAPPURAM FINANCE LTD,       153.27,       177.33,-13.57
L,ELECON ENG. CO. LTD,       626.40,       721.45,-13.17
L,SAHASRA ELECTRONIC SOLU L,       760.15,       872.25,-12.85
L,STYLAM INDUSTRIES LIMITED,      2360.45,      2662.95,-11.36
L,INDRAPRASTHA GAS LTD,       451.70,       504.55,-10.47
L,MAHANAGAR GAS LTD.,      1582.25,      1762.10,-10.21
L,TECHERA ENGINEER (IND) L,       176.80,       196.40,-9.98
L,LANDMARK PR.DEV.CO.LTD,        11.18,        12.38,-9.69
L,DANGEE DUMS LIMITED,         7.40,         8.12,-8.87
L,NEULAND LAB LTD.,     14084.65,     15441.15,-8.78
L,SAHAJ FASHIONS LIMITED,        14.50,        15.55,-6.75
L,5PAISA CAPITAL LIMITED,       532.25,       570.70,-6.74
L,THE P K TEA PROD CO LTD,       446.80,       478.85,-6.69
L,ENVIROTECH SYSTEMS LTD,       102.15,       109.35,-6.58
L,QUICK HEAL TECH LTD,       712.35,       761.35,-6.44
L,VERITAAS ADVERTISING LTD,       132.50,       141.50,-6.36
L,SEC RE NCD 9.00% SR I,      1005.00,      1071.00,-6.16
L,GOLDSTAR POWER LIMITED,        11.25,        11.95,-5.86
L,ONWARD TECHNOLOGIES LTD,       394.05,       418.35,-5.81
L,PELATRO LIMITED,       295.35,       313.45,-5.77
L,AKSHAR SPINTEX LIMITED,         1.15,         1.22,-5.74
L,VOLTAMP TRANSFORMERS LTD,     13299.15,     14102.30,-5.7
L,2.50%GOLDBONDS2028SR-IX,      8002.18,      8484.00,-5.68
L,GLOBAL EDUCATION LIMITED,       195.34,       206.96,-5.61
L,MARINETRANS INDIA LIMITED,        24.50,        25.90,-5.41
L,FORCAS STUDIO LIMITED,        99.00,       104.60,-5.35
L,SATIN CREDIT NET LTD,       182.48,       192.75,-5.33
L,THINKING HATS ENTER SOL L,        44.90,        47.40,-5.27
L,RAGHAV PRODUCTIVITY ENH L,      1261.10,      1329.70,-5.16
L,ORTIN GLOBAL LIMITED,        19.21,        20.23,-5.04
