Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
18 OCT 2024,ACCURACY,BE,ACCURACY SHIPPING LIMITED,Listed    ,18 OCT 2024,               1.00,         150560000,             10.60,     1597441600.00  
18 OCT 2024,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,18 OCT 2024,               2.00,         119083196,           1379.10,   164227635603.60       
18 OCT 2024,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,18 OCT 2024,              10.00,          10200000,             33.15,      338028000.00  
18 OCT 2024,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,18 OCT 2024,               2.00,         123396969,            658.90,    81306262874.10       
18 OCT 2024,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,18 OCT 2024,              10.00,          92172140,             88.45,     8150782340.20       
18 OCT 2024,ACSAL,ST,ARVIND AND COMPANY       ,Listed    ,18 OCT 2024,              10.00,          12137800,            113.00,     1371571400.00     
18 OCT 2024,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,18 OCT 2024,              10.00,        1201282642,           1043.30,  1253298180398.60
18 OCT 2024,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,18 OCT 2024,               1.00,        1140001121,           3002.00,  3422283365242.00  
18 OCT 2024,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,18 OCT 2024,              10.00,        1584032478,           1736.05,  2749959583431.90
18 OCT 2024,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,18 OCT 2024,               2.00,        2160138945,           1405.60,  3036291301092.00
18 OCT 2024,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,18 OCT 2024,              10.00,        3856938941,            611.40,  2358132468527.40
18 OCT 2024,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,18 OCT 2024,               2.00,         109863595,            308.35,    33876439518.25  
18 OCT 2024,ADL,BE,ARCHIDPLY DECOR LIMITED  ,Listed    ,18 OCT 2024,              10.00,           5566250,            101.55,      565197025.00       
18 OCT 2024,ADORWELD,EQ,ADOR WELDING LTD         ,Listed    ,18 OCT 2024,              10.00,          13598467,           1341.95,    18248462790.65  
18 OCT 2024,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,18 OCT 2024,              10.00,          24767372,             20.65,      511198558.10
18 OCT 2024,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,18 OCT 2024,               5.00,          55822853,            293.55,    16386798498.15      
18 OCT 2024,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,18 OCT 2024,               2.00,          92438500,             71.20,     6579772430.00
18 OCT 2024,ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD ,Listed    ,18 OCT 2024,               2.00,         111824075,            479.70,    53642008777.50
18 OCT 2024,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED  ,Listed    ,18 OCT 2024,               1.00,         351000000,            725.25,   254562750000.00  
18 OCT 2024,AEROFLEX,EQ,AEROFLEX INDUSTRIES LTD  ,Listed    ,18 OCT 2024,               2.00,         129320370,            200.10,    25879592444.40  
18 OCT 2024,AERON,SM,AERON COMPOSITE LIMITED  ,Listed    ,18 OCT 2024,              10.00,          17020000,            133.95,     2279829000.00     
18 OCT 2024,AESTHETIK,SM,AESTHETIK ENGINEERS LTD  ,Listed    ,18 OCT 2024,              10.00,          17220175,             86.90,     1496433207.50 
18 OCT 2024,AETHER,EQ,AETHER INDUSTRIES LIMITED,Listed    ,18 OCT 2024,              10.00,         132557542,            926.90,   122867585679.80    
18 OCT 2024,AFFLE,EQ,AFFLE (INDIA) LIMITED    ,Listed    ,18 OCT 2024,               2.00,         140325060,           1566.45,   219812190237.00     
18 OCT 2024,AFIL,EQ,AKME FINTRADE (INDIA) LTD,Listed    ,18 OCT 2024,              10.00,          42674996,            100.70,     4296518597.30      
18 OCT 2024,AGARIND,EQ,AGARWAL INDS CORP LTD.   ,Listed    ,18 OCT 2024,              10.00,          14957789,           1123.60,    16806571720.40   
18 OCT 2024,AGARWALFT,SM,AGARWAL FLOAT GLASS I LTD,Listed    ,18 OCT 2024,              10.00,           7243488,             90.20,      653362617.60 
18 OCT 2024,AGIIL,EQ,AGI INFRA LIMITED        ,Listed    ,18 OCT 2024,              10.00,          12216720,            985.15,    12035301708.00     
18 OCT 2024,AGNI,SM,AGNI GREEN POWER LTD     ,Listed    ,18 OCT 2024,              10.00,          19534800,             40.45,      790182660.00      
18 OCT 2024,AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,Listed    ,18 OCT 2024,              10.00,           5940000,            219.15,     1301691600.00  
18 OCT 2024,AGROPHOS,EQ,AGRO PHOS INDIA LIMITED  ,Listed    ,18 OCT 2024,              10.00,          20274115,             48.60,      985524730.15  
18 OCT 2024,AGSTRA,EQ,AGS TRANSACT TECH LTD    ,Listed    ,18 OCT 2024,              10.00,         121403076,             93.05,    11298984283.30    
18 OCT 2024,AGUL,SM,A G UNIVERSAL LIMITED    ,Listed    ,18 OCT 2024,              10.00,           5484000,             60.90,      333975600.00      
18 OCT 2024,AHIMSA,ST,AHIMSA INDUSTRIES LTD.   ,Listed    ,11 OCT 2024,              10.00,           5473990,             44.60,      244139954.00    
18 OCT 2024,AHL,EQ,ABANS HOLDINGS LIMITED   ,Listed    ,18 OCT 2024,               2.00,          50145950,            354.45,    17774231977.50       
18 OCT 2024,AHLADA,EQ,AHLADA ENGINEERS LIMITED ,Listed    ,18 OCT 2024,              10.00,          12921000,            101.55,     1311869130.00    
