SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
ESSEN-RE1,BE,INE418N20027,INTEGRA ESSENTIA LIMITED,RE                                                                                                 
SENSEXETF,BL,INF769K01KT9,MIRAEAMC - SENSEXETF,EF                                                                                                     
ICICINIFTY,BL,INF109K012R6,ICICI PRUD NIFTY ETF,EF                                                                                                    
ICICINV20,EQ,INF109KB1WY5,ICICI PRUDENTIAL NV20 ETF,EF                                                                                                
NIFTYBETF,BL,INF0QA701722,BFAM - NIFTYBETF,EF                                                                                                         
AURUM-RE,BL,INE898S20011,AURUM PROPTECH LIMITED,RE                                                                                                    
SMF542,MF,INF903J01M36,SUNDARMAMC - SMF542,EF                                                                                                         
SMF543,MF,INF903J01M44,SUNDARMAMC - SMF543,EF                                                                                                         
SMF544,MF,INF903J01M51,SUNDARMAMC - SMF544,EF                                                                                                         
T4RD,MF,INF903J017A2,SUNDARMAMC - T4RD,EF                                                                                                             
SC2RD,MF,INF903J01X74,SUNDARMAMC - SC2RD,EF                                                                                                           
BANKBEES,EQ,INF204KB15I9,NIP IND ETF BANK BEES,EF                                                                                                     
NIFTYBEES,EQ,INF204KB14I2,NIP IND ETF NIFTY BEES,EF                                                                                                   
T5RG,MF,INF903J018C6,SUNDARMAMC - T5RG,EF                                                                                                             
NAGREE-RE,BL,INE123B20010,NAGREEKA EXPORTS LIMITED,RE                                                                                                 
RUSHI-RE1,BE,INE573K20025,RUSHIL DECOR LIMITED,RE                                                                                                     
HDFCNIF100,EQ,INF179KC1HR4,HDFCAMC - HDFCNIF100,EF                                                                                                    
BBNPNBETF,BL,INF251K01TL6,BARODABNP - BBNPNBETF,EF                                                                                                    
AXISBNKETF,BL,INF846K01X63,AXISAMC - AXISBNKETF,EF                                                                                                    
EC7DD,MF,INF903JA1FI5,SUNDARMAMC - EC7DD,EF                                                                                                           
EC7RG,MF,INF903JA1FF1,SUNDARMAMC - EC7RG,EF                                                                                                           
MULTICAP,BL,INF769K01LX9,MIRAEAMC - MULTICAP,EF                                                                                                       
GROWWEV,EQ,INF666M01IH2,GROWWAMC - GROWWEV,EF                                                                                                         
543180,MF,INF204KB17T2,Nippon India Mutual Fund,EF                                                                                                    
AXSENSEX,BL,INF846K010Q0,AXISAMC - AXSENSEX,EF                                                                                                        
SBIETFIT,EQ,INF200KA1S14,SBIAMC - SBIETFIT,EF                                                                                                         
UTINEXT50,EQ,INF789F1AUW9,UTIAMC - UTINEXT50,EF                                                                                                       
EC2RD,MF,INF903JA1CQ5,SUNDARMAMC - EC2RD,EF                                                                                                           
ESSEN-RE2,BE,INE418N20035,INTEGRA ESSENTIA LIMITED,RE                                                                                                 
SSFL-RE,ST,INE0ON220012,SRIVARI SPICES N FOODS L,RE                                                                                                   
GODHA-RE,BE,INE925Y20010,GODHA CABCON INSULAT LTD,RE                                                                                                  
HDFCMID150,EQ,INF179KC1HT0,HDFCAMC - HDFCMID150,EF                                                                                                    
EC5DD,MF,INF903JA1EO6,SUNDARMAMC - EC5DD,EF                                                                                                           
SANG-RE,BE,INE753W20010,SANGINITA CHEMICALS LTD,RE                                                                                                    
HILTON-RE,BE,INE788H20017,HILTON METAL FORGING LIMI,RE                                                                                                
542807,MF,INF204KB10F6,Nippon India Mutual Fund,EF                                                                                                    
542849,MF,INF204KB15F5,Nippon India Mutual Fund,EF                                                                                                    
542816,MF,INF204KB15G3,Nippon India Mutual Fund,EF                                                                                                    
542838,MF,INF204KB16E6,Nippon India Mutual Fund,EF                                                                                                    
542847,MF,INF204KB19E0,Nippon India Mutual Fund,EF                                                                                                    
MAFANG,EQ,INF769K01HF4,MIRAEAMC - MAFANG,EF                                                                                                           
PHARMABEES,BL,INF204KC1089,NIPPONAMC - NETFPHARMA,EF                                                                                                  
AUTOBEES,BL,INF204KC1337,NIPPONAMC - NETFAUTO,EF                                                                                                      
DIVOPPBEES,EQ,INF204KA1MS3,NIP IND ETF DIV OPP,EF                                                                                                     
ICICIMOM30,EQ,INF109KC17C7,ICICIPRAMC - ICICIMOM30,EF                                                                                                 
NIFTYQLITY,EQ,INF209KB15K4,BIRLASLAMC - NIFTYQLITY,EF                                                                                                 
532985,BL,INF174KA1JD7,KOTAK MAHINDRA MUTUAL FUND,EF                                                                                                  
541972,EQ,INF200KA1VQ2,SBI Mutual Fund,EF                                                                                                             
HDFCPVTBAN,EQ,INF179KC1HZ7,HDFCAMC - HDFCPVTBAN,EF                                                                                                    
ICICICOMMO,EQ,INF109KC19O8,ICICIPRAMC - ICICICOMMO,EF                                                                                                 
SHAREINDIA,W1,INE932X13013,SHARE IND. SECURITIES LTD,RE                                                                                               
PSUBNKIETF,BL,INF109KC10S8,ICICIPRAMC - PSUBANKICI,EF                                                                                                 
LOWVOLIETF,EQ,INF109KC19U5,ICICI PR NIF LW VL 30 ETF,EF                                                                                               
LLOYDS-RE,BE,INE093R20011,LLOYDS ENGG WORK LIMITED,RE                                                                                                 
GRASIM-RE,BL,INE047A20013,GRASIM IND LTD,RE                                                                                                           
GREEN-RE1,BE,INE999K20022,ORIENT GREEN POWER CO LTD,RE                                                                                                
ABFRL,W1,INE647O13016,ADITYA BIRLA FAS & RT LTD,RE                                                                                                    
NGIL-RE1,BE,INE236Y20020,NAKODA GRP OF IND LTD,RE                                                                                                     
EC4DG,MF,INF903JA1DP5,SUNDARMAMC - EC4DG,EF                                                                                                           
538591,MF,INF204KA1RY0,RELIANCE MUTUAL FUND - RELIANC,EF                                                                                              
NIF100IETF,BL,INF109KC16V9,ICICI PRUD NIFTY 100 ETF,EF                                                                                                
543179,MF,INF204KB16T4,Nippon India Mutual Fund,EF                                                                                                    
DUCON-RE,BE,INE741L20018,DUCON INFRATECH LTD,RE                                                                                                       
SEPC-RE1,BE,INE964H20022,SEPC LIMITED,RE                                                                                                              
MIDQ50ADD,BL,INF740KA1QL0,DSPAMC - DSPQ50ETF,EF                                                                                                       
PVTBANKADD,EQ,INF740KA1TA7,DSPAMC - DSPPVBKETF,EF                                                                                                     
HDFCNIFTY,BL,INF179KC1965,HDFCAMC - HDFCNIFTY,EF                                                                                                      
GICL-RE,SL,INE947T20014,GLOBE INTL CARRIERS LTD,RE                                                                                                    
LOWVOL1,BL,INF174KA1IY5,KOTAKMAMC - KOTAKLOVOL,EF                                                                                                     
SOBHA-RE,BE,INE671H20015,SOBHA LTD-RE,RE                                                                                                              
AARTI-RE,BE,INE09EO20013,AARTI SURFACTANTS LIMITED,RE                                                                                                 
M16RG,MF,INF903JA1BB9,SUNDARMAMC - M16RG,EF                                                                                                           
ICICISENSX,BL,INF346A01034,ICICI PRUD SENSEX ETF,EF                                                                                                   
ICICIBANKN,EQ,INF109KC15I8,ICICIPRAMC - IPRU5008,EF                                                                                                   
IRBIT-RE1,ID,INE0C8K20059,IRB INFRA TRUST RE,RE                                                                                                       
BCIL-RE,BL,INE414D20019,BHAGIRADHA CHEM & IND LTD,RE                                                                                                  
BANKBETF,EQ,INF0QA701714,BFAM - BANKBETF,EF                                                                                                           
SPENCER-RE,BE,INE020820010,SPENCERS RETAIL RE,RE                                                                                                      
SM546,MF,INF903J01M77,SUNDARMAMC - SM546,EF                                                                                                           
ISMCSRIIRG,MF,INF903J01YY7,SUNDARMAMC - ISMCSRIIRG,EF                                                                                                 
SMCSRIIRD,MF,INF903J01YZ4,SUNDARMAMC - SMCSRIIRD,EF                                                                                                   
LICNFNHGP,EQ,INF767K01PC8,LICNAMC - LICNFNHGP,EF                                                                                                      
SETFNIFBK,EQ,INF200KA1580,SBI-ETF NIFTY BANK,EF                                                                                                       
EBANK,EQ,INF754K01EL1,EDELWEISS ETF-NIFTY BANK,EF                                                                                                     
LICNETFSEN,EQ,INF767K01OT5,LICNAMC - LICNFESGP,EF                                                                                                     
LICNETFN50,BL,INF767K01OS7,LICNAMC - LICNFENGP,EF                                                                                                     
INFRABEES,EQ,INF732E01268,NIP IND ETF INFRA BEES,EF                                                                                                   
EC3RG,MF,INF903JA1DB5,SUNDARMAMC - EC3RG,EF                                                                                                           
ABSLNN50ET,EQ,INF209KB16D7,BIRLASLAMC - ABSLNN50ET,EF                                                                                                 
RUSHI-RE1,BL,INE573K20025,RUSHIL DECOR LIMITED,RE                                                                                                     
SKIPPER-RE,BL,INE439E20014,SKIPPER LIMITED,RE                                                                                                         
ESSEN-RE,BL,INE418N20019,INTEGRA ESSENTIA LIMITED,RE                                                                                                  
UTIBANKETF,EQ,INF789F1AUV1,UTIAMC - UTIBANKETF,EF                                                                                                     
SOLARA-RE,BL,INE624Z20016,SOLARA ACTIVE PHA SCI LTD,RE                                                                                                
WOCKH-RE,BL,INE049B20017,WOCKHARDT LIMITED,RE                                                                                                         
IDFNIFTYET,BL,INF194KA1U07,BANDHANAMC - IDFNIFTYET,EF                                                                                                 
AXSENSEX,EQ,INF846K010Q0,AXISAMC - AXSENSEX,EF                                                                                                        
PATINT-RE2,BE,INE529D20030,PATEL INTEGRATED LOGISTIC,RE                                                                                               
ORIENT-RE,BL,INE998H20012,ORIENTAL TRIMEX LIMITED,RE                                                                                                  
SHRERA-RE,BL,INE879A20019,SHREE RAMA MULTI-TECH LTD,RE                                                                                                
INDO-RE,BE,INE227G20018,INDOWIND ENERGY LIMITED,RE                                                                                                    
ICICIB22,EQ,INF109KB15Y7,ICICIPRAMC - BHARATIWIN,EF                                                                                                   
SBIETFPB,EQ,INF200KA1S22,SBIAMC - SBIETFPB,EF                                                                                                         
REFEX-RE,BE,INE056I20017,REFEX INDUSTRIES RE,RE                                                                                                       
REFEX-RE,BL,INE056I20017,REFEX INDUSTRIES RE,RE                                                                                                       
EVINDIA,BL,INF769K01LQ3,MIRAEAMC - EVINDIA,EF                                                                                                         
EC2DD,MF,INF903JA1CS1,SUNDARMAMC - EC2DD,EF                                                                                                           
EC2DG,MF,INF903JA1CR3,SUNDARMAMC - EC2DG,EF                                                                                                           
INFRAIETF,EQ,INF109KC16E5,ICICIPRAMC - ICICIINFRA,EF                                                                                                  
TIL-RE,BL,INE806C20018,TIL LTD,RE                                                                                                                     
GATECH-RE,BL,INE224E20010,GACM TECHNOLOGIES LIMITED,RE                                                                                                
HERIT-RE,BE,INE978A20019,HERITAGE FOODS LTD,RE                                                                                                        
BSLSENETFG,BL,INF209KB10E8,BIRLASLAMC - BSLSENETFG,EF                                                                                                 
APCL-RE,BL,INE071F20012,ANJANI PORTLAND CEM LTD,RE                                                                                                    
ICICIFMCG,BL,INF109KC1R48,ICICIPRAMC - ICICIFMCG,EF                                                                                                   
MOHEALTH,BL,INF247L01BB1,MOTILALAMC - MOHEALTH,EF                                                                                                     
542815,MF,INF204KB12G0,Nippon India Mutual Fund,EF                                                                                                    
542805,MF,INF204KB13E3,Nippon India Mutual Fund,EF                                                                                                    
542839,MF,INF204KB13G8,Nippon India Mutual Fund,EF                                                                                                    
542811,MF,INF204KB17E4,Nippon India Mutual Fund,EF                                                                                                    
TECH,EQ,INF209KB11D8,BIRLASLAMC - TECH,EF                                                                                                             
538683,BL,INF204KA1UN7,NIPPON INDIA ETF SENSEX,EF                                                                                                     
539031,EQ,INF200KA1572,SBI Mutual Fund,EF                                                                                                             
HDFCQUAL,BL,INF179KC1DL6,HDFCAMC - HDFCQUAL,EF                                                                                                        
HDFCVALUE,BL,INF179KC1DK8,HDFCAMC - HDFCVALUE,EF                                                                                                      
ICICIFIN,BL,INF109KC17L8,ICICIPRAMC-ICICIFIN,EF                                                                                                       
RSWM-RE,BE,INE611A20016,RSWM LIMITED,RE                                                                                                               
EC1DG,MF,INF903JA1CJ0,SUNDARMAMC - EC1DG,EF                                                                                                           
EC1RG,MF,INF903JA1CH4,SUNDARMAMC - EC1RG,EF                                                                                                           
ESG,EQ,INF769K01GS9,MIRAEAMC - MAESGETF,EF                                                                                                            
MAKEINDIA,BL,INF769K01IB1,MIRAEAMC - MAMFGETF,EF                                                                                                      
HIGHWAY-RE,BL,INE0KXY20011,HIGHWAYS INFRA TRU RE,RE                                                                                                   
MIDCAPETF,EQ,INF769K01IC9,MIRAEAMC - MAM150ETF,EF                                                                                                     
AUTOIETF,BL,INF109KC10V2,ICICIPRAMC - ICICIAUTO,EF                                                                                                    
COMMOIETF,EQ,INF109KC19O8,ICICIPRAMC - ICICICOMMO,EF                                                                                                  
LOWVOLIETF,BL,INF109KC19U5,ICICI PR NIF LW VL 30 ETF,EF                                                                                               
MAGNUM-RE,BL,INE387I20016,MAGNUM VENTURES LIMITED,RE                                                                                                  
ADRO-RE,BL,INE737B20017,ADROIT INFOTECH LIMITED,RE                                                                                                    
SILGO-RE,BE,INE01II20013,SILGO RETAIL LIMITED,RE                                                                                                      
BHANDA-RE1,BE,INE474E20029,BHANDARI HOSIERY EXP LTD,RE                                                                                                
VINNY-RE,BE,INE01KI20019,VINNY OVERSEAS LTD,RE                                                                                                        
NARMA-RE,BE,INE117Z20011,NARMADA AGROBASE LIMITED,RE                                                                                                  
ICICIINFRA,EQ,INF109KC16E5,ICICIPRAMC - ICICIINFRA,EF                                                                                                 
NIFTYIETF,EQ,INF109K012R6,ICICI PRUD NIFTY ETF,EF                                                                                                     
NIFTYIETF,BL,INF109K012R6,ICICI PRUD NIFTY ETF,EF                                                                                                     
MIDCAPIETF,BL,INF109KC11W8,ICICIPRAMC - ICICIM150,EF                                                                                                  
MOM30IETF,BL,INF109KC17C7,ICICIPRAMC - ICICIMOM30,EF                                                                                                  
QUAL30IETF,EQ,INF109KC18V5,ICICIPRAMC - ICICIQTY30,EF                                                                                                 
543177,MF,INF204KB11U3,Nippon India Mutual Fund,EF                                                                                                    
543178,MF,INF204KB12U1,Nippon India Mutual Fund,EF                                                                                                    
DUCON-RE,BL,INE741L20018,DUCON INFRATECH LTD,RE                                                                                                       
PVR-RE,BE,INE191H20014,PVR LIMITED RE,RE                                                                                                              
MID150CASE,BL,INF0R8F01059,ZERODHAAMC - MID150CASE,EF                                                                                                 
GROWWEV,BL,INF666M01IH2,GROWWAMC - GROWWEV,EF                                                                                                         
ITETFADD,BL,INF740KA1SX1,DSPAMC - DSPITETF,EF                                                                                                         
SENSEXADD,BL,INF740KA1SZ6,DSPAMC - DSPSENXETF,EF                                                                                                      
PVTBANKADD,BL,INF740KA1TA7,DSPAMC - DSPPVBKETF,EF                                                                                                     
HDFCNIFTY,EQ,INF179KC1965,HDFCAMC - HDFCNIFTY,EF                                                                                                      
HDFCSENSEX,BL,INF179KC1HX2,HDFCAMC - HDFCSENSEX,EF                                                                                                    
ESSEN-RE1,BL,INE418N20027,INTEGRA ESSENTIA LIMITED,RE                                                                                                 
BANKNIFTY1,BL,INF174K01F59,KOTAKMAMC-KOTAKBKETF,EF                                                                                                    
LOWVOL1,EQ,INF174KA1IY5,KOTAKMAMC - KOTAKLOVOL,EF                                                                                                     
MNC,EQ,INF174KA1JF2,KOTAKMAMC - KOTAKMNC,EF                                                                                                           
PSUBANK,BL,INF373I01023,KOTAK PSU BANK,EF                                                                                                             
MONIFTY500,EQ,INF247L01BU1,MOTILALAMC - MONIFTY500,EF                                                                                                 
INVENT-RE,BL,INE878H20016,INVENTURE GRO & SEC LTD,RE                                                                                                  
M16DG,MF,INF903JA1BD5,SUNDARMAMC - M16DG,EF                                                                                                           
ICICISENSX,EQ,INF346A01034,ICICI PRUD SENSEX ETF,EF                                                                                                   
ICICIALPLV,EQ,INF109KC1N59,ICICIPRAMC - ICICIALPLV,EF                                                                                                 
UTINIFTETF,EQ,INF789F1AZC0,UTIAMC - UTINIFTETF,EF                                                                                                     
SETFNIF50,BL,INF200KA1FS1,SBI-ETF NIFTY 50,EF                                                                                                         
SETFNIF50,EQ,INF200KA1FS1,SBI-ETF NIFTY 50,EF                                                                                                         
SETFNN50,EQ,INF200KA1598,SBI-ETF NIFTY NEXT 50,EF                                                                                                     
SETFNN50,BL,INF200KA1598,SBI-ETF NIFTY NEXT 50,EF                                                                                                     
EBANK,BL,INF754K01EL1,EDELWEISS ETF-NIFTY BANK,EF                                                                                                     
VF1RD,MF,INF903J01Z98,SUNDARMAMC - VF1RD,EF                                                                                                           
IVZINNIFTY,EQ,INF205K01DA9,INVESCO INDIA NIFTY ETF,EF                                                                                                 
UTIFEFDGR2,MF,INF789FA17T4,UTIAMC - UTIFEFDGR2,EF                                                                                                     
UTIFEFRGR2,MF,INF789FA15T8,UTIAMC - UTIFEFRGR2,EF                                                                                                     
T4RG,MF,INF903J016A4,SUNDARMAMC - T4RG,EF                                                                                                             
SC2DG,MF,INF903J01X82,SUNDARMAMC - SC2DG,EF                                                                                                           
QNIFTY,EQ,INF082J01028,QUANTUM NIFTY 50 ETF,EF                                                                                                        
EC3DG,MF,INF903JA1DD1,SUNDARMAMC - EC3DG,EF                                                                                                           
AJOONI-RE,BE,INE820Y20013,AJOONI BIOTECH LIMITED,RE                                                                                                   
MITTAL-RE,BL,INE997Y20019,MITTAL LIFE STYLE LIMITED,RE                                                                                                
OILIETF,BL,INF109KC18W3,ICICIPRAMC - OILIETF,EF                                                                                                       
GOKUL-RE,BE,INE314T20017,GOKUL AGRO RESOURCES LTD,RE                                                                                                  
NETF,EQ,INF277K015R5,TATAAML - NETF,EF                                                                                                                
EC6RG,MF,INF903JA1ET5,SUNDARMAMC - EC6RG,EF                                                                                                           
MC2RD,MF,INF903JA1EE7,SUNDARMAMC - MC2RD,EF                                                                                                           
ICICINIFTY,EQ,INF109K012R6,ICICI PRUD NIFTY ETF,EF                                                                                                    
M15DD,MF,INF903JA1AO4,SUNDARMAMC - M15DD,EF                                                                                                           
ARVINDF-RE,BE,INE955V20013,ARVIND FASHIONS RE,RE                                                                                                      
ICICIPHARM,BL,INF109KC1Q72,ICICIPRAMC - ICICIPHARM,EF                                                                                                 
GUJNRECOKE,W1,INE110D13018,GUJ NRE COKE WARRANTS,RE                                                                                                   
HATSUN-RE,BL,INE473B20019,HATSUN AGRO PROD LTD-RE,RE                                                                                                  
QUAL30IETF,BL,INF109KC18V5,ICICIPRAMC - ICICIQTY30,EF                                                                                                 
ABIN-RE,ST,INE00YB20017,A B INFRABUILD LIMITED,RE                                                                                                     
BHANDA-RE,BL,INE474E20011,BHANDARI HOSIERY EXP LTD,RE                                                                                                 
TIL-RE,BE,INE806C20018,TIL LTD,RE                                                                                                                     
GODHA-RE,BL,INE925Y20010,GODHA CABCON INSULAT LTD,RE                                                                                                  
GATECH-RE,BE,INE224E20010,GACM TECHNOLOGIES LIMITED,RE                                                                                                
HEALTHY,BL,INF209KB10C2,BIRLASLAMC - HEALTHY,EF                                                                                                       
MASPTOP50,BL,INF769K01HP3,MIRAEAMC - MASPTOP50,EF                                                                                                     
SDBL-RE1,BE,INE480C20020,SOM DIST & BREW LTD,RE                                                                                                       
RIL-RE,BL,INE002A20018,RELIANCE INDUSTRIES RE,RE                                                                                                      
ABFRL-RE,BE,INE647O20011,ADITYA BIRLA FASHION RE,RE                                                                                                   
SBIETFCON,BL,INF200KA1X17,SBIAMC - SBIETFCON,EF                                                                                                       
MOHEALTH,EQ,INF247L01BB1,MOTILALAMC - MOHEALTH,EF                                                                                                     
542806,MF,INF204KB10E9,Nippon India Mutual Fund,EF                                                                                                    
542837,MF,INF204KB11E7,Nippon India Mutual Fund,EF                                                                                                    
542843,MF,INF204KB16F3,Nippon India Mutual Fund,EF                                                                                                    
LIBAS-RE,BL,INE908V20012,LIBAS CON PRODUCT LTD,RE                                                                                                     
DIL-RE,BL,INE411Y20011,DEBOCK INDUSTRIES LIMITED,RE                                                                                                   
MASPTOP50,EQ,INF769K01HP3,MIRAEAMC - MASPTOP50,EF                                                                                                     
HDFCMOMENT,EQ,INF179KC1HV6,HDFCAMC - HDFCMOMENT,EF                                                                                                    
ITBEES,EQ,INF204KB15V2,NIP IND ETF IT,EF                                                                                                              
CONSUMBEES,EQ,INF204KA1LD7,NIP IND ETF CONSUMPTION,EF                                                                                                 
ICICIMOM30,BL,INF109KC17C7,ICICIPRAMC - ICICIMOM30,EF                                                                                                 
MOVALUE,EQ,INF247L01BE5,MOTILALAMC - MOVALUE,EF                                                                                                       
535276,EQ,INF200K01VT2,SBI MUTUAL FUND - SBI ETF SENS,EF                                                                                              
MAMFGETF,EQ,INF769K01IB1,MIRAEAMC - MAMFGETF,EF                                                                                                       
DYNPRO-RE,BL,INE256H20015,DYNEMIC PRODUCTS LIMITED,RE                                                                                                 
HDFCGROWTH,BL,INF179KC1DJ0,HDFCAMC - HDFCGROWTH,EF                                                                                                    
SUZLON-RE,BL,INE040H20013,SUZLON ENERGY LTD,RE                                                                                                        
ICICIFIN,EQ,INF109KC17L8,ICICIPRAMC-ICICIFIN,EF                                                                                                       
JETFRE-RE,BL,INE982V20017,JET FREIGHT LOGISTICS LTD,RE                                                                                                
PERF-RE,ST,INE925S20012,PERFECT INFRAENGINEER LTD,RE                                                                                                  
ESG,BL,INF769K01GS9,MIRAEAMC - MAESGETF,EF                                                                                                            
HIGHWAY-RE,ID,INE0KXY20011,HIGHWAYS INFRA TRU RE,RE                                                                                                   
NIFITETF,EQ,INF789F1AZD8,UTIAMC - NIFITETF,EF                                                                                                         
FMCGIETF,BL,INF109KC19V3,ICICIPRAMC - ICICIFMCG,EF                                                                                                    
AUTOIETF,EQ,INF109KC10V2,ICICIPRAMC - ICICIAUTO,EF                                                                                                    
IBUL-RE,EQ,INE148I20012,INDIABULLS HSG FIN LTD,RE                                                                                                     
SMALLCAP,BL,INF769K01LC3,MIRAEAMC - SMALLCAP,EF                                                                                                       
HCC-RE,BE,INE549A20018,HINDUSTAN CONSTRUCTION CO,RE                                                                                                   
AJOONI-RE1,BL,INE820Y20021,AJOONI BIOTECH LIMITED,RE                                                                                                  
MITCON-RE,BL,INE828O20017,MITCON CON,RE                                                                                                               
TATACON-RE,BE,INE192A20017,TATA CONSUMER PRODUCT LTD,RE                                                                                               
GREEN-RE1,BL,INE999K20022,ORIENT GREEN POWER CO LTD,RE                                                                                                
ATAL-RE,BE,INE0ALR20011,ATAL REALTECH LIMITED,RE                                                                                                      
MITTAL-RE1,BL,INE997Y20027,MITTAL LIFE STYLE LTD,RE                                                                                                   
ITETF,EQ,INF769K01KV5,MIRAEAMC - ITETF,EF                                                                                                             
SHARE-RE,BE,INE932X20018,SHARE IND SEC LTD,RE                                                                                                         
NEXT50IETF,BL,INF109KC1NS5,ICICIPRAMC - ICICINXT50,EF                                                                                                 
NIF100IETF,EQ,INF109KC16V9,ICICI PRUD NIFTY 100 ETF,EF                                                                                                
MIDSELIETF,EQ,INF109KC10W0,ICICI PRUD MIDCAP SEL ETF,EF                                                                                               
543174,MF,INF204KB10U5,Nippon India Mutual Fund,EF                                                                                                    
543184,MF,INF204KB14T9,Nippon India Mutual Fund,EF                                                                                                    
ABSLPSE,EQ,INF209KB19Z4,BIRLASLAMC-ABSLPSE,EF                                                                                                         
ABSLPSE,BL,INF209KB19Z4,BIRLASLAMC-ABSLPSE,EF                                                                                                         
INDO-RE1,BE,INE227G20026,INDOWIND ENERGY LIMITED,RE                                                                                                   
INDO-RE1,BL,INE227G20026,INDOWIND ENERGY LIMITED,RE                                                                                                   
ITETFADD,EQ,INF740KA1SX1,DSPAMC - DSPITETF,EF                                                                                                         
HDFCNIFBAN,EQ,INF179KC1HY0,HDFCAMC - HDFCNIFBAN,EF                                                                                                    
ICICINXT50,BL,INF109KC1NS5,ICICIPRAMC - ICICINXT50,EF                                                                                                 
CLOUD-RE,ST,INE0JOO20013,VARANIUM CLOUD LIMITED,RE                                                                                                    
METALIETF,BL,INF109KC19W1,ICICIPRAMC - METALIETF,EF                                                                                                   
MIDSMALL,EQ,INF769K01LJ8,MIRAEAMC - MIDSMALL,EF                                                                                                       
VINNY-RE,BL,INE01KI20019,VINNY OVERSEAS LTD,RE                                                                                                        
IT,EQ,INF174KA1GC5,KOTAKMAMC - KOTAKIT,EF                                                                                                             
M16DD,MF,INF903JA1BE3,SUNDARMAMC - M16DD,EF                                                                                                           
ICICIMCAP,EQ,INF109KB1XT3,ICICI PRUD MIDCAP SEL ETF,EF                                                                                                
ICICIMCAP,BL,INF109KB1XT3,ICICI PRUD MIDCAP SEL ETF,EF                                                                                                
ICICINV20,BL,INF109KB1WY5,ICICI PRUDENTIAL NV20 ETF,EF                                                                                                
ICICIALPLV,BL,INF109KC1N59,ICICIPRAMC - ICICIALPLV,EF                                                                                                 
ABSLNN50ET,BL,INF209KB16D7,BIRLASLAMC - ABSLNN50ET,EF                                                                                                 
SMCSRIIDD,MF,INF903J01ZB2,SUNDARMAMC - SMCSRIIDD,EF                                                                                                   
LICNETFSEN,BL,INF767K01OT5,LICNAMC - LICNFESGP,EF                                                                                                     
T4DG,MF,INF903J018A0,SUNDARMAMC - T4DG,EF                                                                                                             
SC2DD,MF,INF903J01X90,SUNDARMAMC - SC2DD,EF                                                                                                           
SHARIABEES,EQ,INF732E01128,NIP IND ETF SHARIAH BEES,EF                                                                                                
BSLNIFTY,EQ,INF209KB19D1,ADITYBIRLA SL NIF ETF-GR,EF                                                                                                  
T5DG,MF,INF903J010D1,SUNDARMAMC - T5DG,EF                                                                                                             
HDFCNIF100,BL,INF179KC1HR4,HDFCAMC - HDFCNIF100,EF                                                                                                    
MULTICAP,EQ,INF769K01LX9,MIRAEAMC - MULTICAP,EF                                                                                                       
MGEL-RE,BE,INE0APB20016,MANGALAM GLOBAL ENT LTD,RE                                                                                                    
MOLOWVOL,EQ,INF247L01BL0,MOTILALAMC - MOLOWVOL,EF                                                                                                     
SBIETFIT,BL,INF200KA1S14,SBIAMC - SBIETFIT,EF                                                                                                         
MC2DD,MF,INF903JA1EG2,SUNDARMAMC - MC2DD,EF                                                                                                           
MC2DG,MF,INF903JA1EF4,SUNDARMAMC - MC2DG,EF                                                                                                           
NGIL-RE,BL,INE236Y20012,NAKODA GRP OF IND LTD,RE                                                                                                      
M15DG,MF,INF903JA1AN6,SUNDARMAMC - M15DG,EF                                                                                                           
IBMFNIFTY,EQ,INF666M01FS5,IBULLSAMC - IBMFNIFTY,EF                                                                                                    
PSUBANK,EQ,INF373I01023,KOTAK PSU BANK,EF                                                                                                             
HDFCSML250,BL,INF179KC1FB2,HDFCAMC - HDFCSML250,EF                                                                                                    
EC5DG,MF,INF903JA1EN8,SUNDARMAMC - EC5DG,EF                                                                                                           
EC5RD,MF,INF903JA1EM0,SUNDARMAMC - EC5RD,EF                                                                                                           
ICICITECH,BL,INF109KC16I6,ICICIPRAMC - ICICITECH,EF                                                                                                   
NECLTD-RE,BE,INE553C20016,NORTH EAST CARRY CORP LTD,RE                                                                                                
ICICIFMCG,EQ,INF109KC1R48,ICICIPRAMC - ICICIFMCG,EF                                                                                                   
ABFRL-RE,BL,INE647O20011,ADITYA BIRLA FASHION RE,RE                                                                                                   
NGIL-RE2,BL,INE236Y20038,NAKODA GROUP OF IND LTD,RE                                                                                                   
542813,MF,INF204KB10G4,Nippon India Mutual Fund,EF                                                                                                    
542817,MF,INF204KB17F1,Nippon India Mutual Fund,EF                                                                                                    
AXISCETF,BL,INF846K016C7,AXISAMC - AXISCETF,EF                                                                                                        
NEXT50,EQ,INF769K01FN2,MIRAEAMC - MANXT50,EF                                                                                                          
DYNPRO-RE,BE,INE256H20015,DYNEMIC PRODUCTS LIMITED,RE                                                                                                 
HDFCPVTBAN,BL,INF179KC1HZ7,HDFCAMC - HDFCPVTBAN,EF                                                                                                    
BTML-RE,ST,INE0EEJ20015,BODHI TREE MULTIMEDIA LTD,RE                                                                                                  
KHFM-RE,ST,INE00UG20014,KHFM HOS FAC MANA SER LTD,RE                                                                                                  
SEPC-RE,BE,INE964H20014,SEPC LIMITED,RE                                                                                                               
BANKETF,BL,INF769K01KR3,MIRAEAMC - BANKETF,EF                                                                                                         
ICICIQTY30,EQ,INF109KC15T5,ICICIPRAMC - ICICIQTY30,EF                                                                                                 
