ScripCode,Symbol,NSE Exclusive,Status,Series,GSM,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Unsolicited_SMS,Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Filler4,Filler5,Pledge,Add-on_PB,Total Pledge,Social Media Platforms,ESM,Loss making,The Overall encumbered share in the scrip is more than 50 Percent.,Under BZ/SZ Series,Company has failed to pay Annual listing fee,Filler12,Derivative contracts in the scrip to be moved out of F and O,Filler13,Filler14,Filler15,Filler16
NA,RBZJEWEL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,REGENCERAM,N,A,BE,0,100,100,100,100,100,100,,,100,100,100,100,2,0,100,100,100,,100,,,,
NA,SABEVENTS,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,SABTNL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,SANWARIA,N,A,BZ,100,100,100,0,100,100,100,,,100,100,100,100,100,0,100,0,100,,100,,,,
NA,SHRADHA,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,SHREERAMA,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,SITINET,N,A,BE,100,100,100,0,100,100,100,,,100,100,100,100,100,0,100,100,100,,100,,,,
NA,SOMICONVEY,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,SONAMLTD,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,STEL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,SUPREMEENG,Y,A,BE,0,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,SUPREMEINF,N,A,BZ,100,100,100,100,100,100,100,,,100,100,100,100,2,0,100,0,100,,100,,,,
NA,SURAJLTD,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,TARAPUR,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,TCIFINANCE,N,A,BE,0,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,TCLCONS,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,TECHIN,N,A,BZ,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,0,100,,100,,,,
NA,TEMBO,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,TIJARIA,N,A,BE,0,100,100,100,100,100,100,,,100,100,100,100,2,0,100,100,100,,100,,,,
