SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
ACCORD,SM,ACCORD SYNERGY LIMITED,L
ACCURACY,BE,ACCURACY SHIPPING LIMITED,L
AISL,ST,ANI INTEGRATED SERV LTD.,L
AKSHAR,EQ,AKSHAR SPINTEX LIMITED,L
ALMONDZ,BE,ALMONDZ GLOBAL SEC LTD,L
ALPSINDUS,BE,ALPS INDUSTRIES LTD.,L
ARSHIYA,BE,ARSHIYA LIMITED,L
ASHOKAMET,BE,ASHOKA METCAST LIMITED,L
ATMASTCO,ST,ATMASTCO LIMITED,L
BALPHARMA,BE,BAL PHARMA LTD.,L
BASILIC,SM,BASILIC FLY STUDIO LTD,L
BIL,BE,BHARTIYA INETRNATIONAL LT,L
CELLECOR,ST,CELLECOR GADGETS LIMITED,L
CEREBRAINT,BE,CEREBRA INT TECH LTD,L
CMMIPL,ST,CMM INFRAPROJECTS LIMITED,L
DESTINY,ST,DESTINY LOGISTICS & I LTD,L
DIGIKORE,SM,DIGIKORE STUDIOS LIMITED,L
E2E,BE,E2E NETWORKS LIMITED,L
EFFWA,ST,EFFWA INFRA & RESEARCH L,L
EIMCOELECO,EQ,EIMCO ELECON (INDIA) LTD,L
EPACK,BE,EPACK DURABLE LIMITED,L
EUROTEXIND,BE,EUROTEX IND & EXPORTS LTD,L
FEL,BZ,FUTURE ENTERPRISES LTD,L
FMNL,BE,FUTURE MKT NETWORKS LTD,L
GANGAFORGE,EQ,GANGA FORGING LIMITED,L
GATECH,BE,GACM TECHNOLOGIES LIMITED,L
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,L
GEEKAYWIRE,BE,GEEKAY WIRES LIMITED,L
GLOBALE,BE,GLOBALE TESSILE LIMITED,L
GROBTEA,BE,THE GROB TEA COMPANY LTD,L
GVKPIL,BE,GVK POW. & INFRA LTD.,L
HERCULES,BE,HERCULES HOI. LTD.,L
HIGREEN,ST,HI GREEN CARBON LIMITED,L
INCREDIBLE,BE,INCREDIBLE INDUSTRIES LTD,L
INDOTECH,BE,INDO TECH TRANSFORM LTD.,L
ISFT,BE,INTRASOFT TECH. LTD,L
ISHAN,ST,ISHAN INTERNATIONAL LTD,L
KAMOPAINTS,BE,KAMDHENU VENTURES LIMITED,L
KEYFINSERV,BE,KEYNOTE FIN SERV LTD.,L
KONTOR,ST,KONTOR SPACE LIMITED,L
KRITINUT,BE,KRITI NUTRIENTS LIMITED,L
LIBERTSHOE,BE,LIBERTYSHOESLTD,L
LPDC,EQ,LANDMARK PR.DEV.CO.LTD,L
MARINETRAN,SM,MARINETRANS INDIA LIMITED,L
MEGAFLEX,ST,MEGA FLEX PLASTICS LTD,L
MEP,BE,MEP INFRA. DEVELOPERS LTD,L
MSPL,BE,MSP STEEL & POWER LTD.,L
NDGL,BE,NAGA DHUNSERI GROUP LTD,L
NEXTMEDIA,BE,NEXT MEDIAWORKS LIMITED,L
OMAXE,EQ,OMAXE LIMITED,L
PARAMOUNT,ST,PARAMOUNT DYE TEC LIMITED,L
PARSVNATH,BE,PARSVNATH DEVELOPER LTD,L
PAVNAIND,BE,PAVNA INDUSTRIES LIMITED,L
PCJEWELLER,BE,PC JEWELLER LTD,L
PFOCUS,EQ,PRIME FOCUS LIMITED,L
POCL,EQ,PONDY OXIDES & CHEM LTD,L
PREMIERPOL,BE,PREMIER POLYFILMS LTD,L
PRIZOR,ST,PRIZOR VIZTECH LIMITED,L
RADHIKAJWE,BE,RADHIKA JEWELTECH LIMITED,L
RAJRILTD,BE,RAJ RAYON INDUSTRIES LTD,L
RBMINFRA,ST,RBM INFRACON LIMITED,L
ROLLT,BE,ROLLATAINERS LIMITED,L
RPOWER,BE,RELIANCE POWER LTD.,L
SANGANI,ST,SANGANI HOSPITALS LIMITED,L
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,L
SECURCRED,BE,SECUR CREDENTIALS LIMITED,L
SILKFLEX,ST,SILKFLEX POLYMERS INDIA L,L
SIMPLEXINF,BE,SIMPLEX INFRASTRUCTURES L,L
SITINET,BE,SITI NETWORKS LIMITED,L
SSFL,ST,SRIVARI SPICES N FOODS L,L
TECHERA,SM,TECHERA ENGINEER (IND) L,L
TECHLABS,SM,TRIDENT TECHLABS LIMITED,L
TFL,BE,TRANSWARRANTY FIN. LTD.,L
UWCSL,SM,ULTRA WIRING CONN SYS LTD,L
V2RETAIL,BE,V2 RETAIL LIMITED,L
VERTOZ,EQ,VERTOZ LIMITED,L
VILAS,SM,VILAS TRANSCORE LIMITED,L
VIPULLTD,BE,VIPUL LIMITED,L
VIVIANA,ST,VIVIANA POWER TECH LTD,L
VSCL,SM,VADIVARHE SPCLTY CHEM LTD,L
WEALTH,BE,WEALTH FRST PORT. MG. LTD,L
WINSOME,BE,WINSOME YARNS LIMITED,L
XELPMOC,BE,XELPMOC DESIGN & TECH LTD,L
