123,NSLNISP,INE0NNS01018,49.83,20
124,SGBOCT25V,IN0020170075,7950,10
125,MRF,INE883A01011,129811.75,20
126,SGBJUN28,IN0020200104,8100,10
127,SYNGENE,INE398R01022,878.55,20
128,INOXINDIA,INE616N01034,1160.3,20
129,ACC,INE012A01025,2265.1,20
130,GRINDWELL,INE536A01023,2451.6,20
131,SHREECEM,INE070A01015,24245.1,20
132,PHARMABEES,INF204KC1089,23.74,20
133,CLEAN,INE227W01023,1599.4,20
134,HCLTECH,INE860A01027,1867.8,9
135,JUBLPHARMA,INE700A01033,1173.45,20
136,TIMKEN,INE325A01013,3811.25,20
137,SGBMAR28X,IN0020190552,8140.99,10
138,SGBSEP31II,IN0020230093,8391.36,10
139,IIFL,INE530B01024,460,21.66
140,SBFC,INE423Y01016,88.02,20
141,ARE&M,INE885A01032,1368.8,20
142,ADANIENSOL,INE931S01010,1021.65,22.08
143,KAYNES,INE918Z01012,5582.6,20
144,STARCEMENT,INE460H01021,208.66,20
145,SGBJUL25,IN0020170034,7990,10
146,ANDHRAPAP,INE435A01051,102.26,20
147,TI,INE133E01013,301.4,20
148,EXIDEIND,INE302A01020,496.5,20
149,ABREL,INE055A01016,2856,20
150,THERMAX,INE152A01029,5108.7,20
151,NEXT50IETF,INF109KC1NS5,77.08,6.42
152,GOKEX,INE887G01027,903.5,20
153,GILLETTE,INE322A01010,8920.95,20
154,DHAMPURSUG,INE041A01016,207.61,20
155,MOTILALOFS,INE338I01027,929.4,20.31
156,ZAGGLE,INE07K301024,438.6,100
157,SGBOCT27,IN0020190370,8000,10
158,VEEDOL,INE484C01030,2092.4,20
159,JSWSTEEL,INE019A01038,979.5,10.6
160,TDPOWERSYS,INE419M01027,409.6,20
161,BAJAJHLDNG,INE118A01012,10402.75,20
162,TTML,INE517B01013,79.1,20.48
163,IDEAFORGE,INE349Y01013,661.3,20
164,M&MFIN,INE774D01024,282.15,20
165,MOM30IETF,INF109KC17C7,37.11,20
166,KNRCON,INE634I01029,315.8,20
167,NAVKARCORP,INE278M01019,134.06,24.72
168,HATHWAY,INE982F01036,20.02,20
169,RAIN,INE855B01025,178.5,20
170,IRFC,INE053F01010,149.12,20.74
171,WIPRO,INE075A01022,528.75,10.74
172,JTLIND,INE391J01024,212.39,20
173,TATATECH,INE142M01025,1059.9,20
174,ATUL,INE100A01010,7759.15,20
175,GMRINFRA,INE776C01039,86.59,20
176,NEWGEN,INE619B01017,1244.4,20
177,NIACL,INE470Y01017,208.57,22.73
178,INTERARCH,INE00M901018,1602.2,20
179,DIVISLAB,INE361B01024,6077.4,20
180,ASTERDM,INE914M01019,419.65,20
181,SENCO,INE602W01019,1356.8,20
182,SHARDACROP,INE221J01015,604.6,20
183,SGBAPR28I,IN0020200062,8215.81,10
184,ABSLAMC,INE404A01024,765.3,20
185,AARTIDRUGS,INE767A01016,500.95,20
186,BANKBEES,INF204KB15I9,526.9,20
187,IDFC,INE043D01016,107.97,100
188,SGBAUG29V,IN0020210129,8300,10
189,ABDL,INE552Z01027,334.7,20
190,TRENT,INE849A01020,7719.65,14.07
191,EBBETF0430,INF754K01KO2,1426.53,20
192,MFSL,INE180A01020,1173.7,20
193,BANSALWIRE,INE0B9K01025,425.05,20
194,FINCABLES,INE235A01022,1313.4,20
195,PVRINOX,INE191H01014,1609.75,20
196,TATACHEM,INE092A01019,1073.85,20
197,KAJARIACER,INE217B01036,1390.45,20
198,SILVERBEES,INF204KC1402,88.59,20
199,APLLTD,INE901L01018,1185.35,20
200,CAPLIPOINT,INE475E01026,1873.15,20
201,SGBNV29VII,IN0020210178,8165.9,10
202,POLYCAB,INE455K01017,7120.55,20
203,BSOFT,INE836A01035,593.5,20
204,AJANTPHARM,INE031B01049,3236.55,20
205,PVTBANIETF,INF109KC18U7,25.63,20
206,ACI,INE128X01021,664.2,20
207,HONAUT,INE671A01010,49569.15,20
208,SIEMENS,INE003A01024,7717.65,20
209,HAL,INE066F01020,4518.6,20
210,MAZDOCK,INE249Z01012,4237.8,25.68
211,HINDCOPPER,INE531E01026,317.2,20.45
212,TRIDENT,INE064C01022,35.66,20
213,SGBJUN29II,IN0020210061,8096.66,10
214,AUBANK,INE949L01017,686.95,20
215,MOREPENLAB,INE083A01026,86.23,21.76
216,IIFLSEC,INE489L01022,432.35,25.99
217,UPL,INE628A01036,553.7,20
218,SGBJUL27,IN0020190081,8100,10
219,MARKSANS,INE750C01026,283.15,21.26
220,SANSTAR,INE08NE01025,127.56,20
221,SAREGAMA,INE979A01025,546.8,20
222,AETHER,INE0BWX01014,924.6,20
223,POLICYBZR,INE417T01026,1685.05,20
224,CENTURYPLY,INE348B01021,879.4,20
225,HDFCLIFE,INE795G01014,726.1,9.73
226,BAJAJELEC,INE193E01025,875.85,20
227,ECLERX,INE738I01010,3009.8,20
228,HIKAL,INE475B01022,368.45,20
229,NAUKRI,INE663F01024,7979.6,20
230,APARINDS,INE372A01015,10336.3,20
231,TRITURBINE,INE152M01016,772.65,20
232,SOUTHBANK,INE683A01023,25.19,20
233,ALPHA,INF174KA1IA5,56.81,20
234,HOMEFIRST,INE481N01025,1200.85,20
235,LTFOODS,INE818H01020,417.35,20
236,EPACK,INE0G5901015,396.8,100
237,PEL,INE140A01024,1036.05,20
238,GMMPFAUDLR,INE541A01023,1468,20
239,AEROFLEX,INE024001021,199.83,20
240,SUMICHEM,INE258G01013,566.15,20
241,EMCURE,INE168P01015,1483.1,20
242,APLAPOLLO,INE702C01027,1552.25,20
243,GOODLUCK,INE127I01024,1059.75,20
244,KTKBANK,INE614B01018,227.74,20
245,ORIENTCEM,INE876N01018,342.6,20.52
246,POLYPLEX,INE633B01018,1113.3,20
247,KOPRAN,INE082A01010,298.8,20.57
248,FEDFINA,INE007N01010,110.3,20
249,BOMDYEING,INE032A01023,240.92,21.02
250,GIPCL,INE162A01010,225.21,20.17
251,SGBJUL28IV,IN0020200146,8099.95,10
252,TRIVENI,INE256C01024,432.35,20
253,VAKRANGEE,INE051B01021,27.71,24.86
254,PSPPROJECT,INE488V01015,647.25,20
255,SGBOCT25,IN0020170059,7985,10
256,MASTEK,INE759A01021,2985.2,20
257,CARTRADE,INE290S01011,1015.85,20
258,LODHA,INE670K01029,1169.55,20
259,RADICO,INE944F01028,2192.9,20
260,PERSISTENT,INE262H01021,5536,20
261,RTNINDIA,INE834M01019,70.8,20.88
262,GALAXYSURF,INE600K01018,2971.7,20
263,SGBD29VIII,IN0020210228,8141.27,10
264,GODIGIT,INE03JT01014,360.6,20
265,SMALLCAP,INF769K01LC3,53.01,20
266,HBLPOWER,INE292B01021,598.1,21.36
267,NATCOPHARM,INE987B01026,1389.2,20
268,BANDHANBNK,INE545U01014,190.19,20
269,SGBAUG28V,IN0020200161,8127.21,10
270,MGL,INE002S01010,1762.1,20
271,MAHABANK,INE457A01014,53.98,20
272,GODREJIND,INE233A01035,1035.7,20
273,SHRIRAMFIN,INE721A01013,3258.6,13.82
274,FEDERALBNK,INE171A01029,193.61,20
275,LLOYDSENGG,INE093R01011,78.34,24.95
276,BFUTILITIE,INE243D01012,1004.85,23.66
277,SGBMAY25,IN0020170018,8100,10
278,BHARTIHEXA,INE343G01021,1500.45,20
279,HDFCSILVER,INF179KC1DI2,88.75,20
280,ALKYLAMINE,INE150B01039,2250.3,20
281,PETRONET,INE347G01014,350.9,20
282,ESCORTS,INE042A01014,3789,20
283,FCL,INE045J01026,396.05,20
284,BORORENEW,INE666D01022,450.35,20
285,SETFNIF50,INF200KA1FS1,261.36,6
286,SGBN28VIII,IN0020200286,8173,10
287,GREENPANEL,INE08ZM01014,412.6,20
288,LIQUIDBETF,INF0QA701854,999.99,5
289,NOCIL,INE163A01018,301.65,20
290,CGPOWER,INE067A01029,837.2,20
291,PRAKASH,INE603A01013,168.02,21.44
292,CHOLAFIN,INE121A01024,1456.55,20
293,SHARDAMOTR,INE597I01028,2176.85,20
294,SEQUENT,INE807F01027,195.34,100
295,M&M,INE101A01026,2964.6,11.88
296,UNOMINDA,INE405E01023,958.5,20
297,JWL,INE209L01016,522.85,22.89
298,AWL,INE699H01024,327.6,20
299,ELGIEQUIP,INE285A01027,664.15,20
300,MID150BEES,INF204KB1V68,223.42,6.02
301,PGHH,INE179A01014,16587.1,20
302,SANSERA,INE953O01021,1560.85,20
303,TVSMOTOR,INE494B01023,2679.25,20
304,PNCINFRA,INE195J01029,459.2,20
305,SDBL,INE480C01038,106.61,20
306,GAEL,INE036B01030,137.97,20
307,SRF,INE647A01010,2262.95,20
308,GEOJITFSL,INE007B01023,148.58,23.12
309,CHALET,INE427F01016,862.8,20
310,BANKINDIA,INE084A01016,104.68,20
311,ZYDUSLIFE,INE010B01027,1020.85,20
312,GABRIEL,INE524A01029,434.35,20
313,CANBK,INE476A01022,102.5,20
314,KARURVYSYA,INE036D01028,216.91,20
315,ADANIENT,INE423A01024,3013.75,19.52
316,GODFRYPHLP,INE260B01028,6955.45,23.32
317,SOBHA,INE671H01015,1757.4,20
318,PGHL,INE199A01012,5207,20
319,CDSL,INE736A01011,1545,20
320,MUTHOOTFIN,INE414G01012,1955.45,20
321,MAHLIFE,INE813A01018,515.65,20
322,JKTYRE,INE573A01042,396.15,20
323,UBL,INE686F01025,1982.6,20
324,TIPSMUSIC,INE716B01029,770.05,20
325,WESTLIFE,INE274F01020,873.15,20
326,COFORGE,INE591G01017,7257.25,20
327,AAVAS,INE216P01012,1728,20
328,ENGINERSIN,INE510A01028,187.83,21.74
329,KELLTONTEC,INE164B01022,147.55,22.31
330,AFFLE,INE00WC01027,1581.55,20
331,VAIBHAVGBL,INE884A01027,293.7,20
332,WSTCSTPAPR,INE976A01021,606.95,20
333,KPRMILL,INE930H01031,936.7,20
334,LIQUIDSHRI,INF680P01422,1017.81,5
335,CYIENTDLM,INE055S01018,693.65,20
336,MHRIL,INE998I01010,382.5,20
337,ONGC,INE213A01029,281.6,14.23
338,GODREJCP,INE102D01028,1347.3,20
339,ANGELONE,INE732I01013,3127.85,21.9
340,HEROMOTOCO,INE158A01026,5217.45,9.91
341,IONEXCHANG,INE570A01022,660.9,20
342,GODREJPROP,INE484J01027,3084.2,20
343,RBA,INE07T201019,104.02,20
344,EVEREADY,INE128A01029,417.95,20
345,IGL,INE203G01027,504.55,20
346,GICRE,INE481Y01014,392.85,20
347,APOLLOHOSP,INE437A01024,6989.3,9
348,KEC,INE389H01022,993,20
349,SAIL,INE114A01011,127.83,20
350,SPIC,INE147A01011,81.44,20
351,MASFIN,INE348L01012,299.95,20
352,LICHSGFIN,INE115A01026,611.8,20
353,INDIGO,INE646L01027,4624,20
354,TATASTEEL,INE081A01020,152.4,11.72
355,SGBMAY29I,IN0020210053,8140.5,10
356,IDBI,INE008A01015,81.16,20
357,SGBJAN26,IN0020170166,7980,10
358,ZENSARTECH,INE520A01027,695.1,20
359,FIEMIND,INE737H01014,1645.95,20
360,MEDPLUS,INE804L01022,675.85,20
361,CARYSIL,INE482D01024,789.3,20
362,YATHARTH,INE0JO301016,625.75,20
363,SHK,INE500L01026,322.05,20
364,NUVOCO,INE118D01016,362.1,20
365,CUB,INE491A01021,153.32,20
366,FIVESTAR,INE128S01021,897.75,20
367,UTKARSHBNK,INE735W01017,42.74,20
368,RVNL,INE415G01027,489.6,25.31
369,SATIN,INE836B01017,192.75,20
370,BAJAJFINSV,INE918I01026,1815.8,9.46
371,NEULANDLAB,INE794A01010,15441.15,22.98
372,BEML,INE258A01016,3909.4,22.67
373,GPPL,INE517F01014,209.83,20
374,SUNDARMFIN,INE660A01013,4837.35,20
375,EBBETF0425,INF754K01LD3,1246,20
376,RBLBANK,INE976G01028,202.45,20
377,OLECTRA,INE260D01016,1682.8,20
378,HONASA,INE0J5401028,424.25,20
379,MINDACORP,INE842C01021,531.2,20
380,VINATIORGA,INE410B01037,1973.5,20
381,RELIANCE,INE002A01018,2712.85,9
382,IMAGICAA,INE172N01012,78.87,21.83
383,ANURAS,INE930P01018,723.75,20
384,AHLUCONT,INE758C01029,1143.25,20
385,SIGNATURE,INE903U01023,1485.05,20
386,DEEPAKFERT,INE501A01019,1034.4,20
387,HAPPSTMNDS,INE419U01012,802.4,20
388,UNIPARTS,INE244O01017,461.55,20
389,SFL,INE916U01025,886.05,20
390,WELSPUNLIV,INE192B01031,161.66,20
391,SUVENPHAR,INE03QK01018,1249.95,20
392,KOTAKBANK,INE237A01028,1864.05,9
393,INFY,INE009A01021,1968.1,9
