ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF251K01894,BNP01G,GR,OMF,9,226.79
INF251K01910,BNP02DP,DP,OMF,9,26.5
INF251K01902,BNP02DR,DR,OMF,9,26.5
INF251K01AX1,BNP05DP,DP,OMF,9,65.32
INF251K01AY9,BNP05DR,DR,OMF,9,65.32
INF251K01AW3,BNP05G,GR,OMF,9,104.73
INF251K01AA9,BNP09DP,DP,OMF,9,25.44
INF251K01993,BNP09DR,DR,OMF,9,25.44
INF251K01985,BNP09G,GR,OMF,9,96.57
INF179KB1HU9,H53TGR,GR,GMF,10,5520.25
INF179KB1HT1,H57TGR,GR,GMF,5,3679.95
INF336L01QT2,HCIDG,GR,GMF,10,11.29
INF336L01QW6,HCIRG,GR,GMF,10,11.24
INF179K01772,HDFCGLD,DP,GMF,10,12.03
INF179K01764,HDFCGLDR,DR,GMF,10,12.03
INF179K01756,HDFCGLG,GR,GMF,10,52.71
INF179K01VT8,HGLDRTDR,DR,GMF,10,12.83
INF251K01845,BNP11G,GR,OMF,9,43.21
INF251K01852,BNP12DP,DP,OMF,9,11.36
INF251K01860,BNP12DR,DR,OMF,9,11.36
INF251K01DQ9,BNP17G,GR,OMF,9,38.13
INF251K01DW7,BNP21,GR,OMF,9,43.65
INF251K01EB9,BNP22,DP,OMF,9,10.4
INF251K01EC7,BNP22,DR,OMF,9,10.4
INF251K01QT5,BNPAFDGG,GR,OMF,9,13.22
INF251K01QQ1,BNPAFRGG,GR,OMF,9,12.74
INF251K01EP9,BNPBONDIG,GR,OMF,9,25.88
INF251K01EI4,BNPBONDRG,GR,OMF,9,29.95
INF251K01LT6,BNPMTIG,GR,OMF,9,17.76
INF194KB1HG9,BNSIFDG,GR,OMF,9,13.23
INF194KB1HD6,BNSIFRG,GR,OMF,9,13.16
INF761K01DH6,BOICSRGG,DP,OMF,9,11.69
INF761K01BP3,BOIEDRDD,DP,OMF,9,17.34
INF761K01BQ1,BOIEDRDR,DR,OMF,9,17.34
INF761K01BR9,BOIEDRGG,GR,OMF,9,24.85
INF761K01082,BOIEFRDD,DP,OMF,9,26.82
INF761K01090,BOIEFRDR,DR,OMF,9,26.82
INF761K01108,BOIEFRGG,GR,OMF,9,89.84
INF761K01116,BOIEFRQD,DP,OMF,9,32.72
INF761K01124,BOIEFRQR,DR,OMF,9,32.72
INF761K01215,BOIFIRDD,DP,OMF,9,36.99
INF761K01207,BOIFIRDR,DR,OMF,9,36.99
INF761K01199,BOIFIRGG,GR,OMF,9,58.03
INF761K01231,BOIFIRQD,DP,OMF,9,37.67
INF761K01223,BOIFIRQR,DR,OMF,9,37.67
INF761K01579,BOIIFRGG,GR,OMF,9,24.95
INF761K01FZ3,BOIMADGG,GR,OMF,9,11.16
INF761K01FW0,BOIMARGG,GR,OMF,9,11.1
INF761K01DN4,BOIMCDDD,DP,OMF,9,34.26
INF761K01DO2,BOIMCDDR,DR,OMF,9,34.26
INF761K01DM6,BOIMCDGG,GR,OMF,9,41.98
INF761K01462,BOIRRRGG,GR,OMF,9,33.23
INF761K01165,BOITARDD,DP,OMF,9,32.89
INF761K01181,BOITARGG,GR,OMF,9,170.75
INF761K01298,BOITFRGG,GR,OMF,9,3015.27
INF955L01831,BPBSD,DP,OMF,9,21.69
INF955L01856,BPBSG,GR,OMF,9,44.08
INF955L01KK1,BPFBCD2G,GR,OMF,9,17.23
INF955L01KH7,BPFBCGPG,GR,OMF,9,16.48
INF955L01KC8,BPFBPD2G,GR,OMF,9,12.18
INF955L01JX6,BPFBPGPG,GR,OMF,9,11.95
INF789FA1U61,BPFDD,DP,OMF,9,13.91
INF789FA1U79,BPFDR,DR,OMF,9,13.91
INF955L01JU2,BPFLMD2G,GR,OMF,9,29.86
INF179K01VR2,HGLDTDP,DP,GMF,10,12.83
INF179K01VS0,HGLGTGR,GR,GMF,10,55.31
INF179KC1FQ0,HHGADGMF,GR,GMF,10,11.49
INF955L01JS6,BPFLMDPD,DP,OMF,9,22.19
INF955L01JT4,BPFLMDPR,DR,OMF,9,22.19
INF955L01JR8,BPFLMGPG,GR,OMF,9,28.06
INF789F014Z9,BPGPG,GR,OMF,9,20.74
INF955L01658,BPGRD,DP,OMF,9,61.25
INF955L01674,BPGRG,GR,OMF,9,297.23
INF955L01666,BPGRR,DR,OMF,9,61.25
INF955L01971,BPMFBSD2,GR,OMF,9,48.76
INF955L01FR6,BPMFCOD2,GR,OMF,9,22.95
INF955L01FP0,BPMFCOGP,GR,OMF,9,20.96
INF955L01HG5,BPMFDED1,DP,OMF,9,18.71
INF955L01HH3,BPMFDED1,DR,OMF,9,18.71
INF955L01HF7,BPMFDED2,GR,OMF,9,25.63
INF955L01HD2,BPMFDEDPD,DP,OMF,9,17.23
INF955L01HE0,BPMFDEDPR,DR,OMF,9,17.23
INF955L01HC4,BPMFDEGPG,GR,OMF,9,23.66
INF955L01IN9,BPMFESD1,DR,OMF,9,14.83
INF955L01IL3,BPMFESD2,GR,OMF,9,16.99
INF955L01II9,BPMFESGP,GR,OMF,9,16.06
INF955L01AE5,BPMFGRD1,DP,OMF,9,64.54
INF955L01AG0,BPMFGRD2,GR,OMF,9,330.99
INF955L01BD5,BPMFSTD2,GR,OMF,9,29.86
INF955L01138,BPMFSTDPR,DP,OMF,9,10.28
INF955L01153,BPMFSTGPG,GR,OMF,9,27.64
INF955L01GZ7,BPMFUSD1,DR,OMF,9,1007.08
INF955L01HA8,BPMFUSD2,GR,OMF,9,1482.32
INF955L01HB6,BPMFUSD5,DR,OMF,9,997.1
INF955L01GX2,BPMFUSIGG,GR,OMF,9,1465.15
INF179KA1JD2,BPRD,DP,OMF,9,10.14
INF179KA1JE0,BPRDR,DR,OMF,9,10.14
INF179KA1JC4,BPRG,GR,OMF,9,21.76
INF955L01146,BPSTR,DR,OMF,9,10.28
INF194KB1GU2,BRFDG,GR,OMF,9,12.52
INF194KB1GN7,BRFRG,GR,OMF,9,12.31
INF209K01090,BSL02,DP,OMF,9,211.73
INF209K01CB1,BSL02,DR,OMF,9,211.73
INF209K01108,BSL02G,GR,OMF,9,60.26
INF209K01132,BSL15,DP,OMF,11.25,49.72
INF209K01CD7,BSL15,DR,OMF,11.25,49.72
INF209K01140,BSL16,GR,OMF,9,187.99
INF209K01157,BSL201D,DP,OMF,9,142.52
INF209K01CE5,BSL201D,DR,OMF,9,142.52
INF209K01165,BSL201G,GR,OMF,9,918.93
INF209K01256,BSL205RD,DP,OMF,9,11.24
INF209K01CI6,BSL205RD,DR,OMF,9,11.24
INF209K01264,BSL205RG,GR,OMF,9,25.32
INF209K01314,BSL221D,DP,OMF,9,253.55
INF209K01CL0,BSL221D,DR,OMF,9,253.55
INF209K01322,BSL221G,GR,OMF,9,1468.03
INF209K01355,BSL251D,DP,OMF,9,65.14
INF209K01CN6,BSL251D,DR,OMF,9,65.14
INF209K01363,BSL251G,GR,OMF,9,816.87
INF209K01397,BSL261D,DP,OMF,9,30.56
INF209K01CP1,BSL261D,DR,OMF,9,30.56
INF209K01405,BSL261G,GR,OMF,9,487.85
INF209K01439,BSL291D,DP,OMF,9,44.11
INF209K01CR7,BSL291D,DR,OMF,9,44.11
INF209K01447,BSL291G,GR,OMF,9,222.34
INF209K01454,BSL292D,DP,OMF,10.59,25.69
INF209K01CS5,BSL292D,DR,OMF,10.59,25.69
INF209K01462,BSL292G,GR,OMF,9,141.27
INF209K01470,BSL293D,DP,OMF,9,31.32
INF209K01CT3,BSL293D,DR,OMF,9,31.32
INF209K01504,BSL293G,GR,OMF,9,99.41
INF209K01512,BSL297D,DP,OMF,9,17.43
INF209K01CV9,BSL297D,DR,OMF,9,17.43
INF209K01520,BSL297G,GR,OMF,9,35.81
INF209K01579,BSL301G,GR,OMF,9,119.59
INF209K01587,BSL301QD,DP,OMF,9,13.34
INF209K01CY3,BSL301QD,DR,OMF,9,13.34
INF209K01595,BSL303FD,DP,OMF,9,12.92
INF209K01CZ0,BSL303FD,DR,OMF,9,12.92
INF209K01603,BSL303G,GR,OMF,9,36.73
INF209K01611,BSL303MD,DP,OMF,9,15.86
INF209K01DA1,BSL303MD,DR,OMF,9,15.86
INF209K01751,BSL313G,DP,OMF,9,63.75
INF209K01769,BSL313MD,DP,OMF,9,16.61
INF209K01DF0,BSL313MD,DR,OMF,9,16.61
INF209K01777,BSL313MP,DR,OMF,9,63.75
INF209K01785,BSL32,GR,OMF,9,106.72
INF209K01793,BSL321G,GR,OMF,9,43.87
INF209K01801,BSL321MD,DP,OMF,9,10.65
INF209K01DG8,BSL321MD,DR,OMF,9,10.65
INF209K01819,BSL321QD,DP,OMF,9,10.69
INF209K01DH6,BSL321QD,DR,OMF,9,10.69
INF209K01MC8,BSL331G,GR,OMF,9,502.5
INF209K01942,BSL341G,GR,OMF,9,44.95
INF209K01975,BSL341QD,DP,OMF,9,14.29
INF209K01DK0,BSL341QD,DR,OMF,9,14.29
INF209K01983,BSL37,DP,OMF,9,12.48
INF209K01DL8,BSL37,DR,OMF,9,12.48
INF209K01AJ8,BSL51,GR,OMF,9,1790.23
INF209K01MF1,BSL512G,GR,OMF,9,476.28
INF209K01AQ3,BSL52,DP,OMF,9,176.2
INF209K01DT1,BSL52,DR,OMF,9,176.2
INF209K01BO6,BSL91,DP,OMF,9,44.72
INF209K01EC5,BSL91,DR,OMF,9,44.72
INF209K01BR9,BSL92,GR,OMF,9,524.84
INF209K01BS7,BSLA,DP,OMF,9,186.77
INF209K01EE1,BSLA,DR,OMF,9,186.77
INF209K01BT5,BSLAG,GR,OMF,9,1505.66
INF789F1A538,CBFDPGRO,GR,OMF,9,15.78
INF789F1A447,CBFRPGRO,GR,OMF,9,15.48
INF179KA1I87,CDNDR,DP,OMF,9,20.98
INF179KA1I61,CDNDT,DP,OMF,9,21.49
INF179KA1I79,CDNRR,DR,OMF,9,20.98
INF179KA1I53,CDNRT,DR,OMF,9,21.49
INF179KA1GD8,CDODR,DP,OMF,9,10.35
INF179KA1GA4,CDODT,DP,OMF,9,10.68
INF179KA1GC0,CDOGR,GR,OMF,9,22.78
INF179KA1FZ3,CDOGT,GR,OMF,9,24.51
INF179KA1GE6,CDORR,DR,OMF,9,10.35
INF179KA1GB2,CDORT,DR,OMF,9,10.68
INF767K01FB1,CFG1G,GR,OMF,9,38
INF767K01048,CFGPG,GR,OMF,9,34.29
INF789F01RA2,CODPD,DP,OMF,9,11.5
INF789F01RB0,CODPR,DR,OMF,9,11.5
INF789F01QZ1,COGPG,GR,OMF,9,16.19
INF204K01YG5,CPAWRMF,DR,OMF,9,1092.87
INF247L01494,CPDPD,DP,OMF,9,37.79
INF247L01486,CPDPR,DR,OMF,9,37.79
INF247L01502,CPGDG,GR,OMF,9,68.8
INF247L01478,CPGPG,GR,OMF,9,62.5
INF247L01528,CPPDD,DP,OMF,9,39.08
INF247L01510,CPPDR,DR,OMF,9,39.08
INF200KA12D7,CPSE649D,DR,OMF,9,11.62
INF200KA11D9,CPSE649DP,DP,OMF,9,11.62
INF200KA10D1,CPSE649G,GR,OMF,9,11.62
INF200KA13D5,CPSED649G,GR,OMF,9,11.67
INF760K01KC4,CRBPDG,GR,OMF,9,11.55
INF760K01KF7,CRBPGP,GR,OMF,9,11.47
INF760K01DS5,CRCFDD,DP,OMF,9,92.68
INF760K01DT3,CRCFDD,DR,OMF,9,92.68
INF760K01DU1,CRCFDG,GR,OMF,9,129.04
INF760K01225,CRCFDP,DP,OMF,9,51.22
INF760K01233,CRCFDPR,DR,OMF,9,51.22
INF760K01241,CRCFGP,GR,OMF,9,113.3
INF760K01DX5,CRCYDG,GR,OMF,9,26.18
INF760K01DV9,CRCYDM,DP,OMF,9,17.65
INF760K01DW7,CRCYDM,DR,OMF,9,17.65
INF760K01BO8,CRCYDP,DP,OMF,9,15.43
INF760K01BN0,CRCYDP,DR,OMF,9,15.43
INF760K01BM2,CRCYGP,GR,OMF,9,24.1
INF760K01BQ3,CRCYQP,DP,OMF,9,15.15
INF760K01BP5,CRCYQP,DR,OMF,9,15.15
INF760K01EC7,CRDBDG,GR,OMF,9,30.92
INF760K01449,CRDBGPG,GR,OMF,9,28.25
INF760K01ED5,CRDVDD,DP,OMF,9,97.92
INF760K01EE3,CRDVDD,DR,OMF,9,97.92
INF760K01EF0,CRDVDG,GR,OMF,9,373.58
INF179KC1FR8,HHGARGMF,GR,GMF,10,11.46
INF179KC1FS6,HHGJDGMF,GR,GMF,10,11.74
INF179KC1FT4,HHGJRGMF,GR,GMF,10,11.7
INF179KC1EJ8,HHJDGRHMF,GR,GMF,10,11.5
INF760K01035,CRDVDPR,DR,OMF,9,64.97
INF760K01EG8,CREQDD,DP,OMF,9,139.98
INF760K01EH6,CREQDD,DR,OMF,9,139.98
INF760K01175,CREQDP,DP,OMF,9,92.74
INF760K01EI4,CREQDP,GR,OMF,9,293.39
INF760K01183,CREQDPR,DR,OMF,9,92.74
INF760K01167,CREQGP,GR,OMF,9,258.22
INF760K01EJ2,CRETDD,DP,OMF,9,84.53
INF760K01EL8,CRETDG,GR,OMF,9,196.98
INF760K01084,CRETDP,DP,OMF,9,52.63
INF760K01092,CRETDPR,DR,OMF,9,52.63
INF760K01100,CRETGP,GR,OMF,9,177.78
INF760K01027,CRFDVD,DP,OMF,9,64.97
INF760K01019,CRFDVG,GR,OMF,9,335.98
INF760K01JS2,CRFEDD,DP,OMF,9,19.48
INF760K01JR4,CRFEDD,DR,OMF,9,19.48
INF179KC1EK6,HHJRGRHMF,GR,GMF,10,11.47
INF0R8701079,HHOFDGHLMF,GR,GMF,5,1066.08
INF0R8701095,HHOFRGHLMF,GR,GMF,5,1065.56
INF760K01JQ6,CRFEDG,GR,OMF,9,20.69
INF760K01JV6,CRFEDP,DP,OMF,9,18.36
INF760K01JU8,CRFEDP,DR,OMF,9,18.36
INF760K01JT0,CRFEGP,GR,OMF,9,19.59
INF760K01803,CRFRDDR,DR,OMF,9,10.26
INF760K01ET1,CRFRDG,GR,OMF,9,41.04
INF760K01779,CRFRDPD,DP,OMF,9,35.85
INF179KC1EL4,HHSDGRHMF,GR,GMF,10,11.74
INF179KC1EM2,HHSRGRHMF,GR,GMF,10,11.7
INF760K01787,CRFRDPR,DR,OMF,9,35.85
INF760K01EM6,CRFRDR,DR,OMF,9,10.26
INF760K01795,CRFRGPG,GR,OMF,9,40.02
INF760K01EX3,CRGBDD,DP,OMF,9,136.81
INF760K01EY1,CRGBDD,DR,OMF,9,136.81
INF760K01EZ8,CRGBDG,GR,OMF,9,398.3
INF760K01068,CRGBDP,DP,OMF,9,104.18
INF760K01076,CRGBDPR,DR,OMF,9,104.18
INF760K01050,CRGBOE,GR,OMF,9,355.08
INF760K01FI1,CRIFDG,GR,OMF,9,59.09
INF760K01340,CRIFDPD,DP,OMF,9,14.93
INF760K01357,CRIFDPR,DR,OMF,9,14.93
INF760K01324,CRIFGPG,GR,OMF,9,53.11
INF760K01FM3,CRINDD,DP,OMF,9.41,93.73
INF760K01FN1,CRINDD,DR,OMF,9.41,93.73
INF760K01FO9,CRINDG,GR,OMF,9.02,186.33
INF760K01258,CRINDP,DP,OMF,9.41,67.66
INF760K01266,CRINDPR,DR,OMF,9.41,67.66
INF760K01274,CRINGP,GR,OMF,9.08,167.33
INF760K01FP6,CRLCDD,DP,OMF,9,57.25
INF760K01FQ4,CRLCDD,DR,OMF,9,57.25
INF760K01FR2,CRLCDG,GR,OMF,9,71.02
INF760K01AS1,CRLCDP,DP,OMF,9,31.68
INF760K01AT9,CRLCDPR,DR,OMF,9,31.68
INF760K01AR3,CRLCGP,GR,OMF,9,62.02
INF760K01KK7,CRMDDD,DP,OMF,9,17.58
INF760K01KJ9,CRMDDD,DR,OMF,9,17.58
INF760K01KI1,CRMDDG,GR,OMF,9,17.56
INF760K01KN1,CRMDDP,DP,OMF,9,17.08
INF760K01KM3,CRMDDP,DR,OMF,9,17.08
INF760K01KL5,CRMDGP,GR,OMF,9,17.08
INF760K01KQ4,CRMFDDD,DP,OMF,9,14.65
INF760K01KP6,CRMFDDR,DR,OMF,9,14.65
INF760K01KO9,CRMFDGG,GR,OMF,9,14.8
INF760K01KT8,CRMFDPD,DP,OMF,9,14.38
INF760K01KS0,CRMFDPR,DR,OMF,9,14.38
INF760K01KR2,CRMFGPG,GR,OMF,9,14.53
INF760K01GB4,CRMIDG,GR,OMF,9,106.31
INF760K01FZ5,CRMIDM,DP,OMF,9,16.87
INF760K01GA6,CRMIDM,DR,OMF,9,16.87
INF760K01308,CRMIDP,DP,OMF,9,13.7
INF760K01316,CRMIDPR,DR,OMF,9,13.7
INF760K01282,CRMIGP,GR,OMF,9,93.44
INF760K01AP7,CRMIQP,DP,OMF,9,14.3
INF760K01AQ5,CRMIQPR,DR,OMF,9,14.3
INF760K01KZ5,CRMNDGG,GR,OMF,9,13.1
INF760K01KW2,CRMNDPD,DP,OMF,9,12.96
INF760K01KV4,CRMNDPR,DR,OMF,9,12.96
INF760K01KU6,CRMNGPG,GR,OMF,9,12.97
INF760K01HB2,CRMODG,GR,OMF,9,22.08
INF760K01GY6,CRMOGPG,GR,OMF,9,20.7
INF760K01JD4,CRSCDD,DP,OMF,9,41.61
INF760K01JE2,CRSCDD,DR,OMF,9,41.61
INF760K01JC6,CRSCDG,GR,OMF,9,45.6
INF760K01JG7,CRSCDP,DP,OMF,9,37.55
INF760K01JH5,CRSCDP,DR,OMF,9,37.55
INF760K01JF9,CRSCGP,GR,OMF,9,41.65
INF760K01GM1,CRTADG,GR,OMF,9,3836.61
INF760K01DC9,CRTASGG,GR,OMF,9,3621.86
INF760K01JY0,CRVFDD,DP,OMF,9,19.38
INF760K01JX2,CRVFDD,DR,OMF,9,19.38
INF760K01JW4,CRVFDG,GR,OMF,9,19.58
INF760K01KB6,CRVFDP,DP,OMF,9,18.44
INF760K01KA8,CRVFDP,DR,OMF,9,18.44
INF760K01JZ7,CRVFGP,GR,OMF,9,18.62
INF761K01DG8,CSDG,DP,OMF,9,11.95
INF0K1H01131,DADGG,GR,OMF,9,11.24
INF789F01JO0,DBDPD,DP,OMF,9,16.03
INF789F01JP7,DBDPR,DR,OMF,9,16.03
INF789F01JQ5,DBGPG,GR,OMF,9,29.44
INF579M01266,DDG,GR,OMF,9,22.42
INF247L01601,DEADD,DP,OMF,9,17.14
INF247L01627,DEADR,DR,OMF,9,17.14
INF247L01643,DEDQD,DP,OMF,9,15.31
INF247L01668,DEDQR,DR,OMF,9,15.31
INF247L01635,DEGDG,GR,OMF,9,24.74
INF247L01585,DEGPGG,GR,OMF,9,22.5
INF247L01593,DEQDD,DP,OMF,9,14.49
INF247L01619,DEQDR,DR,OMF,9,14.49
INF247L01BT3,DMGD,GR,OMF,9,11.92
INF247L01BS5,DMGPP,GR,OMF,9,11.87
INF663L01NY6,DPRMIOMD,DP,OMF,9,25.17
INF663L01NZ3,DPRMIOMD,DR,OMF,9,25.17
INF740K01QK6,DPSTBDDR,DR,OMF,9,2339.64
INF740KA1TW1,DS250Q50DG,GR,OMF,9,13.27
INF740KA1TT7,DS250Q50RG,GR,OMF,9,13.2
INF044D01CA9,DSG1GTMF,GR,OMF,9,133.28
INF179KB1IC5,HLFDDR,DR,GMF,10,1019.82
INF179KB1HO2,HLFDMTDP,DP,GMF,10,1029.71
INF179KB1HP9,HLFGTGR,GR,GMF,10,4931.9
INF179KB1HQ7,HLFMRTDR,DR,GMF,10,1029.71
INF179KB1HR5,HLQD53,GR,GMF,10,5419.8
INF179KB1HS3,HLQD57,GR,GMF,5,3646.67
INF179KB1HM6,HLQDLFDM,DP,GMF,10,1029.66
INF179KB1HL8,HLQDLFDMR,DR,GMF,10,1029.66
INF740KA1UC1,DSMLTCPDGR,GR,OMF,9,12.89
INF740KA1UA5,DSMLTCPRDP,DP,OMF,9,12.75
INF740KA1UB3,DSMLTCPRDR,DR,OMF,9,12.75
INF740KA1TZ4,DSMLTCPRGR,GR,OMF,9,12.75
INF740KA1DN4,DSPAFDGR,GR,OMF,9,14.87
INF740KA1DQ7,DSPAFDMP,DP,OMF,9,12.66
INF740KA1DR5,DSPAFDMR,DR,OMF,9,12.66
INF740KA1DI4,DSPAFRGR,GR,OMF,9,14.27
INF740KA1DL8,DSPAFRMP,DP,OMF,9,11.55
INF740KA1DM6,DSPAFRMR,DR,OMF,9,11.55
INF740K01MZ3,DSPBDDGR,GR,OMF,9,81.71
INF179KB1HK0,HLQDLFG,GR,GMF,10,4882.18
INF179KC1EE9,HNGSDGHMF,GR,GMF,10,11.56
INF179KC1EG4,HNGSRGHMF,GR,GMF,10,11.52
INF740KA1TQ3,DSPBFSFDGR,GR,OMF,9,12.09
INF740K01NZ1,DSPBLDDP,DP,OMF,9,73.54
INF740K01OA2,DSPBLDDR,DR,OMF,9,73.54
INF740K01NY4,DSPBLDGR,GR,OMF,9,389.72
INF740K01ZW2,DSPBPDDGR,GR,OMF,9,23.63
INF740K01ZP6,DSPBPDRG,GR,OMF,9,22.87
INF740K01318,DSPBRBALF,GR,OMF,9,349.34
INF740K01326,DSPBRBALF,DP,OMF,9,31.15
INF740K01334,DSPBRBALF,DR,OMF,9,31.15
INF740K01565,DSPBRBDF,DP,OMF,9,11.77
INF740K01995,DSPBRBDF,DR,OMF,9,11.77
INF740K01557,DSPBRBF,GR,OMF,9,77.15
INF740K01011,DSPBREF,DP,OMF,9,70.59
INF740K01037,DSPBREF,GR,OMF,9,105.18
INF740K01029,DSPBREF,DR,OMF,9,70.59
INF740K01532,DSPBRF25,GR,OMF,9,54.8
INF740K01540,DSPBRF25,DP,OMF,9,23.93
INF740K01AC7,DSPBRF25,DR,OMF,9,23.93
INF740K01599,DSPBRFRF,GR,OMF,9,41.41
INF740K01581,DSPBRFRF,DP,OMF,9,12.05
INF740K01AB9,DSPBRFRF,DR,OMF,9,12.05
INF740K01JW6,DSPBRIOF,DP,OMF,9,10.78
INF740K01JV8,DSPBRIOFM,DR,OMF,9,10.78
INF740K01151,DSPBRITF,GR,OMF,9,342.64
INF740K01136,DSPBRITF,DP,OMF,9,35.05
INF740K01144,DSPBRITF,DR,OMF,9,35.05
INF740K01797,DSPBRMCF,GR,OMF,9,204.13
INF740K01805,DSPBRMCF,DP,OMF,9,66.38
INF740K01AM6,DSPBRMCF,DR,OMF,9,66.38
INF740K01QQ3,DSPBRMMF,GR,OMF,9,3241.29
INF740K01QS9,DSPBRMMF,DP,OMF,9,1073.8
INF740K01QR1,DSPBRMMF,DR,OMF,9,1073.8
INF740K01060,DSPBRNRNEF,GR,OMF,9,95.02
INF179KC1EH2,HNJSDGHMF,GR,GMF,10,11.8
INF179KC1EI0,HNJSRGHMF,GR,GMF,10,11.76
INF740K01045,DSPBRNRNEF,DP,OMF,9,32.93
INF740K01052,DSPBRNRNEF,DR,OMF,9,32.93
INF740K01094,DSPBROF,GR,OMF,9,624.22
INF740K01078,DSPBROF,DP,OMF,9,43.29
INF740K01086,DSPBROF,DR,OMF,9,43.29
INF740K01466,DSPBRSFAGG,DR,OMF,9,11.64
INF740K01128,DSPBRSMF,GR,OMF,9,150.78
INF740K01102,DSPBRSMF,DP,OMF,9,33.98
INF740K01110,DSPBRSMF,DR,OMF,9,33.98
INF740K01649,DSPBRSTDF,DP,OMF,9,12.47
INF740K01AF0,DSPBRSTDF,DR,OMF,9,12.47
INF740K01656,DSPBRSTF,GR,OMF,9,44.09
INF740K01664,DSPBRSTMDF,DP,OMF,9,11.55
INF740K01AG8,DSPBRSTMDF,DR,OMF,9,11.55
INF740K01243,DSPBRTEF,GR,OMF,9,464.65
INF740K01227,DSPBRTEF,DP,OMF,9,28.07
INF740K01235,DSPBRTEF,DR,OMF,9,28.07
INF740K01185,DSPBRTSF,GR,OMF,9,140.09
INF740K01169,DSPBRTSF,DP,OMF,9,26.57
INF740K01177,DSPBRTSF,DR,OMF,9,26.57
INF740K01284,DSPBRWEF,GR,OMF,9,18.37
INF740K01292,DSPBRWEF,DP,OMF,9,13.4
INF740K01300,DSPBRWEF,DR,OMF,9,13.4
INF740K01268,DSPBRWGF,DP,OMF,10.4,14.73
INF740K01250,DSPBRWGF,GR,OMF,10.27,23.14
INF740K01276,DSPBRWGF,DR,OMF,10.4,14.73
INF740K01730,DSPBRWMF,GR,OMF,9,17.17
INF740K01748,DSPBRWMF,DP,OMF,9,16.36
INF740K01AL8,DSPBRWMF,DR,OMF,9,16.36
INF740KA1KE8,DSPCBDGR,GR,OMF,9,15.34
INF740KA1JY8,DSPCBRDP,DP,OMF,9,11.63
INF740KA1JZ5,DSPCBRDR,DR,OMF,9,11.63
INF740KA1JX0,DSPCBRGR,GR,OMF,9,15.1
INF740KA1SC5,DSPCRSDDDP,DP,OMF,9,11.69
INF740KA1SD3,DSPCRSDDDR,DR,OMF,9,11.69
INF740KA1SB7,DSPCRSDDGR,GR,OMF,9,11.69
INF740KA1RY1,DSPCRSDRGR,GR,OMF,9,11.64
INF740K01K65,DSPDAAFRDP,DP,OMF,9,14.25
INF740K01K73,DSPDAAFRDR,DR,OMF,9,14.25
INF740K01K57,DSPDAAFRG,GR,OMF,9,26.6
INF740K01K81,DSPDYADGR,GR,OMF,9,30.21
INF740KA1CS5,DSPENDDP,DP,OMF,9,23.81
INF740KA1CT3,DSPENDDR,DR,OMF,9,23.81
INF740KA1CR7,DSPENDGR,GR,OMF,9,26.24
INF740KA1CP1,DSPENRDP,DP,OMF,9,22.95
INF740KA1CQ9,DSPENRDR,DR,OMF,9,22.95
INF740KA1CO4,DSPENRGR,GR,OMF,9,25.36
INF740K01PJ0,DSPEQDDP,DP,OMF,9,101.03
INF740K01PK8,DSPEQDDR,DR,OMF,9,101.03
INF740K01PI2,DSPEQDGR,GR,OMF,9,116.03
INF740KA1504,DSPESDGR,GR,OMF,9,23.4
INF740KA1447,DSPESRDP,DP,OMF,9,13
INF740KA1454,DSPESRDR,DR,OMF,9,13
INF740KA1439,DSPESRGR,GR,OMF,9,21.01
INF740KA1462,DSPESRMDP,DP,OMF,9,14.18
INF740KA1470,DSPESRMDR,DR,OMF,9,14.18
INF740KA1488,DSPESRQDP,DP,OMF,9,14.11
INF740KA1496,DSPESRQDR,DR,OMF,9,14.11
INF740K01OC8,DSPF25DDP,DP,OMF,9,46.29
INF740K01OD6,DSPF25DDR,DR,OMF,9,46.29
INF740K01OB0,DSPF25DGR,GR,OMF,9,60.71
INF740KA1PV1,DSPFFDGR,GR,OMF,9,12.62
INF740KA1PS7,DSPFFRGR,GR,OMF,9,12.49
INF740K01Z50,DSPGAFDGR,GR,OMF,9,21.48
INF740K01Z35,DSPGAFRDP,DP,OMF,9,16.76
INF740K01Z43,DSPGAFRDR,DR,OMF,9,16.76
INF740K01Z27,DSPGAFRG,GR,OMF,9,20.39
INF740KA1TK6,DSPGEFODGR,GR,OMF,9,12.31
INF740KA1TH2,DSPGEFORGR,GR,OMF,9,12.26
INF740KA1QQ9,DSPGFDDP,DP,OMF,9,14.75
INF740KA1QR7,DSPGFDDR,DR,OMF,9,14.75
INF740KA1QP1,DSPGFDGR,GR,OMF,9,14.75
INF740KA1QN6,DSPGFRDP,DP,OMF,9,14.39
INF740KA1QO4,DSPGFRDR,DR,OMF,9,14.39
INF740KA1QM8,DSPGFRGR,GR,OMF,9,14.39
INF740KA1LH9,DSPHCDDP,DP,OMF,9,31.01
INF740KA1LI7,DSPHCDDR,DR,OMF,9,31.01
INF740KA1LG1,DSPHCDGR,GR,OMF,9,45.22
INF740KA1LE6,DSPHCRDP,DP,OMF,9,28.44
INF740KA1LF3,DSPHCRDR,DR,OMF,9,28.44
INF740KA1LD8,DSPHCRGR,GR,OMF,9,41.38
INF740K01OS4,DSPIOPDGR,GR,OMF,9,44.96
INF740KA1TE9,DSPMAADGR,GR,OMF,9,13.11
