ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF966L01BZ5,166BSD1,DR,OMF,9,16.84
INF966L01BX0,166BSDG,GR,OMF,9,16.82
INF966L01CB4,166BSDP,DP,OMF,9,16.45
INF966L01CC2,166BSDP,DR,OMF,9,16.45
INF966L01CA6,166BSGP,GR,OMF,9,16.45
INF966L01DN7,166CNDG,GR,OMF,9,11.52
INF966L01DL1,166CNDP,DP,OMF,9,11.39
INF966L01DM9,166CNDP,DR,OMF,9,11.39
INF966L01DI7,166CNGP,GR,OMF,9,11.38
INF966L01DF3,166CODG,GR,OMF,9,14.91
INF966L01DD8,166CODP,DP,OMF,9,14.72
INF966L01DE6,166CODP,DR,OMF,9,14.72
INF966L01DC0,166COGP,GR,OMF,9,14.72
INF966L01BM3,166DAD1,DP,OMF,9,17.16
INF966L01BN1,166DAD1,DR,OMF,9,17.16
INF966L01BL5,166DADG,GR,OMF,9,17.17
INF966L01BP6,166DADP,DP,OMF,9,16.76
INF966L01BQ4,166DADP,DR,OMF,9,16.76
INF966L01BO9,166DAGP,GR,OMF,9,16.76
INF966L01AD4,166EFG1,GR,OMF,9,38.19
INF966L01AB8,166EFGP,GR,OMF,9,35.92
INF966L01598,166GFD1,DP,OMF,9,85.58
INF966L01606,166GFD1,DR,OMF,9,85.58
INF966L01614,166GFDG,GR,OMF,9,738.97
INF966L01218,166GFDP,DP,OMF,9,78.21
INF966L01226,166GFDP,DR,OMF,9,78.21
INF966L01234,166GFGP,GR,OMF,9,683.9
INF966L01564,166GLD1,DP,OMF,9,134.34
INF966L01572,166GLD1,DR,OMF,9,134.34
INF966L01580,166GLDG,GR,OMF,9,145.76
INF966L01184,166GLDP,DP,OMF,9,125.73
INF966L01192,166GLDP,DR,OMF,9,125.73
INF966L01200,166GLGP,GR,OMF,9,137.16
INF966L01CD0,166HCDG,GR,OMF,9,17.48
INF966L01CH1,166HCDP,DP,OMF,9,17.13
INF966L01CI9,166HCDP,DR,OMF,9,17.13
INF966L01CG3,166HCGP,GR,OMF,9,17.13
INF966L01622,166HYD1,DP,OMF,9,63.17
INF966L01630,166HYD1,DR,OMF,9,63.17
INF966L01648,166HYDG,GR,OMF,9,135.64
INF966L01325,166HYDP,DP,OMF,9,76.35
INF966L01333,166HYDP,DR,OMF,9,76.35
INF966L01341,166HYGP,GR,OMF,9,125.09
INF966L01663,166IBD1,DP,OMF,9,231.95
INF966L01671,166IBD1,DR,OMF,9,231.95
INF179KB1IG6,179KB1IG6,DR,GMF,10,1063.64
INF179KB1IH4,179KB1IH4,DP,GMF,10,1063.01
INF179KB1II2,179KB1II2,DR,GMF,10,1063.01
INF0GCD01255,185LFDGGR,GR,GMF,10,1216.69
INF966L01689,166IBDG,GR,OMF,9,296.73
INF206A01022,166IBDP,DP,OMF,9,218.75
INF966L01044,166IBDP,DR,OMF,9,218.75
INF966L01AA0,166IBGP,GR,OMF,9,275.06
INF966L01705,166ISD1,DP,OMF,9,44.57
INF966L01713,166ISD1,DR,OMF,9,44.57
INF966L01721,166ISDG,GR,OMF,9,44.6
INF966L01507,166ISDP,DP,OMF,9,40.93
INF966L01515,166ISDP,DR,OMF,9,40.93
INF966L01523,166ISGP,GR,OMF,9,41.02
INF966L01AU8,166LCD1,DP,OMF,9,16.05
INF966L01AV6,166LCD1,DR,OMF,9,16.05
INF966L01AT0,166LCDG,GR,OMF,9,16.05
INF966L01AX2,166LCDP,DP,OMF,9,15.48
INF966L01AY0,166LCDP,DR,OMF,9,15.48
INF966L01AW4,166LCGP,GR,OMF,9,15.48
