MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NL,797IGT31,SEC RE NCD 7.97% SR.VI,      1008.00,      1003.00,      1009.50,      1002.00,      1009.50,                  1054267.50,1052, ,9,      1040.00,       930.00
N,NL,829LTF24,SERENCD 8.29% SR.V OP10,      1003.95,      1000.55,      1000.55,      1000.10,      1000.10,                   126013.50,126, ,7,      1099.00,       977.93
N,NL,842IIFL26,SEC RE NCD 8.42% SR.V,       959.76,       946.00,       955.00,       940.55,       944.64,                  1181730.55,1251, ,16,       972.00,       835.20
N,NM,875IIFL26,SEC RE NCD 8.75% SR.VI,       980.10,       980.10,       980.10,       980.10,       980.10,                     2940.30,3, ,1,      1057.00,       911.00
N,NN,865LTF26,SERENCD 8.65% SR.VI OP12,      1077.00,      1077.01,      1079.40,      1077.01,      1079.40,                   663169.90,615, ,10,      1138.00,      1000.00
N,NN,948SCL26A,SEC RE NCD 9.48% SR V,      1002.00,      1002.00,      1002.00,       940.30,      1002.00,                   648047.20,647, ,12,      1070.00,       920.10
N,NO,764IRFC31,TAX FREE  7.64% SR. 108A,      1113.00,      1100.00,      1102.00,      1098.01,      1099.70,                   325373.81,296, ,6,      1180.00,      1088.30
N,NR,1015ECL29,SEC RED NCD 10.15% SR. VI,       983.37,       987.00,       987.00,       987.00,       987.00,                  2479344.00,2512, ,5,      1030.00,       888.00
N,NS,1060ECL29,SEC RED NCD 10.6% SR. VII,      1035.00,      1035.13,      1035.13,      1035.13,      1035.13,                    25878.25,25, ,2,      1286.00,       952.50
N,NS,865IIFL28,SEC RE NCD 8.65% SR.V,       917.60,       916.00,       917.00,       915.85,       917.00,                   229971.71,251, ,8,       980.00,       835.80
N,NT,1025ICCL26,SEC RE NCD 10.25% SR.IV,       940.00,       940.00,       940.00,       940.00,       940.00,                     9400.00,10, ,3,      1197.00,       875.00
N,NT,9IIFL28A,SEC RE NCD 9% SR.VI,       980.00,       980.00,       980.00,       980.00,       980.00,                    98000.00,100, ,1,      1035.00,       894.00
N,NU,98ICCL26,SEC RE NCD 9.80% SR.V,       900.00,       890.00,       900.00,       890.00,       900.00,                    60290.00,67, ,7,       950.00,       760.25
N,NV,11DLSL25,SEC RE NCD 11% SR.V,      1050.01,      1063.95,      1063.95,      1063.95,      1063.95,                     5319.75,5, ,1,      1112.00,       869.00
N,NW,DLSL25,SEC RE NCD 0% SR.VI,      1291.83,      1308.00,      1308.00,      1308.00,      1308.00,                     2616.00,2, ,2,      1475.00,      1155.45
N,NW,IIFLZC25B,SEC RE NCD 0% SR.II,      1080.00,      1080.00,      1080.00,      1070.00,      1070.00,                    15070.00,14, ,2,      1098.00,       950.55
N,NX,1003ICCL28,SEC RE NCD 10.50% SR.VII,       967.00,       942.83,       942.83,       942.83,       942.83,                     9428.30,10, ,1,      1260.00,       851.00
N,NZ,865IFL28,SEC RE NCD 8.65% SR.V,       915.00,       910.00,       914.99,       910.00,       914.99,                    54649.90,60, ,2,       960.00,       850.00
N,Y5,SCLZC25F,SEC RE NCD SR III,      1017.00,      1033.75,      1033.75,      1033.75,      1033.75,                     7236.25,7, ,1,      1033.75,       900.00
N,YA,925SCFL27,SEC RE NCD 9.25% SR.VII,       985.00,      1016.55,      1018.40,      1016.55,      1018.40,                    59985.70,59, ,9,      1018.40,       900.00
