Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18102024,1124899511,0002515
Trade Date <18-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1882,ROUTE,EQ,38541,20590,53.42
20,1883,ROXHITECH,SM,27200,16000,58.82
20,1884,RPEL,EQ,198578,44662,22.49
20,1885,RPGLIFE,EQ,25767,7334,28.46
20,1886,RPPL,EQ,116170,70586,60.76
20,1887,RPSGVENT,EQ,48279,22950,47.54
20,1888,RPTECH,EQ,66276,31647,47.75
20,1889,RRKABEL,EQ,59172,21441,36.24
20,1890,RSWM,EQ,35124,18023,51.31
20,1891,RSYSTEMS,EQ,224343,99762,44.47
20,1892,RTNINDIA,EQ,2094401,685969,32.75
20,1893,RTNPOWER,EQ,11746852,6466449,55.05
20,1894,RUBFILA,EQ,61564,32490,52.77
20,1895,RUBYMILLS,EQ,24187,15057,62.25
20,1896,RUCHIRA,EQ,23045,13536,58.74
20,1897,RULKA,SM,16800,12000,71.43
20,1898,RUPA,EQ,118397,40380,34.11
20,1899,RUSHIL,EQ,359811,212815,59.15
20,1900,RUSTOMJEE,EQ,40372,17700,43.84
20,1901,RVHL,EQ,41889,15382,36.72
20,1902,RVNL,EQ,4706252,1143918,24.31
20,1903,SAAKSHI,SM,19800,17400,87.88
20,1904,SABAR,SM,40000,30000,75.00
20,1905,SADBHAV,EQ,870433,442527,50.84
20,1906,SADBHIN,EQ,126431,87075,68.87
20,1907,SADHAV,SM,21600,16800,77.78
20,1908,SADHNANIQ,EQ,100695,53994,53.62
20,1909,SAFARI,EQ,57855,33155,57.31
20,1910,SAGARDEEP,EQ,37118,10445,28.14
20,1911,SAGCEM,EQ,25359,15003,59.16
20,1912,SAH,EQ,39883,12365,31.00
20,1913,SAHAJ,SM,36000,24000,66.67
20,1914,SAHAJSOLAR,ST,25600,24800,96.88
20,1915,SAHANA,SM,16500,13000,78.79
20,1916,SAHASRA,SM,1110400,564800,50.86
20,1917,SAHYADRI,EQ,11484,6750,58.78
20,1918,SAIFL,SM,10400,8800,84.62
20,1919,SAIL,EQ,26363209,10039449,38.08
20,1920,SAJHOTELS,ST,70000,66000,94.29
20,1921,SAKAR,EQ,11651,8108,69.59
20,1922,SAKHTISUG,EQ,549477,253623,46.16
20,1923,SAKSOFT,EQ,180932,81191,44.87
20,1924,SALASAR,EQ,4567350,1834357,40.16
20,1925,SALONA,EQ,45,33,73.33
20,1926,SALSTEEL,EQ,270281,163396,60.45
20,1927,SALZERELEC,EQ,96623,34942,36.16
20,1928,SAMBHAAV,EQ,1146915,219371,19.13
20,1929,SAMHI,EQ,558380,275326,49.31
20,1930,SAMMAANCAP,EQ,10540814,4531500,42.99
20,1931,SAMPANN,EQ,50168,21220,42.30
20,1932,SANDESH,EQ,3305,1692,51.20
20,1933,SANDHAR,EQ,86756,44995,51.86
20,1934,SANDUMA,EQ,117116,69875,59.66
20,1935,SANGAMIND,EQ,21762,10134,46.57
20,1936,SANGANI,ST,69000,60000,86.96
20,1937,SANGHIIND,EQ,158919,98112,61.74
20,1938,SANGHVIMOV,EQ,514406,141880,27.58
20,1939,SANGINITA,EQ,82884,50549,60.99
20,1940,SANOFI,EQ,9043,4732,52.33
20,1941,SANOFICONR,EQ,8876,5678,63.97
20,1942,SANSERA,EQ,222111,142567,64.19
20,1943,SANSTAR,EQ,884023,314303,35.55
20,1944,SAPPHIRE,EQ,207889,112425,54.08
20,1945,SARDAEN,EQ,339099,123318,36.37
20,1946,SAREGAMA,EQ,643199,234911,36.52
20,1947,SARTELE,SM,137000,68500,50.00
20,1948,SARVESHWAR,EQ,4089590,2374608,58.06
20,1949,SASKEN,EQ,16616,7018,42.24
20,1950,SASTASUNDR,EQ,15256,8371,54.87
20,1951,SATECH,ST,66000,52000,78.79
20,1952,SATIA,EQ,299395,157704,52.67
20,1953,SATIN,EQ,465975,216225,46.40
20,1954,SATINDLTD,EQ,1305944,509358,39.00
20,1955,SAURASHCEM,EQ,91770,42068,45.84
20,1956,SBC,EQ,2557202,453994,17.75
20,1957,SBCL,EQ,143472,52344,36.48
20,1958,SBFC,EQ,2318299,940859,40.58
20,1959,SBGLP,EQ,1146857,454843,39.66
20,1960,SBICARD,EQ,824220,419062,50.84
20,1961,SBIETFCON,EQ,11901,9583,80.52
20,1962,SBIETFIT,EQ,9045,3526,38.98
20,1963,SBIETFPB,EQ,7476,6824,91.28
20,1964,SBIETFQLTY,EQ,5089,3996,78.52
20,1965,SBILIFE,EQ,2045293,1539331,75.26
20,1966,SBIN,EQ,11704698,5177944,44.24
20,1967,SBINEQWETF,EQ,21073,15555,73.81
20,1968,SBISILVER,EQ,65464,49509,75.63
20,1969,SCHAEFFLER,EQ,51353,28262,55.03
20,1970,SCHAND,EQ,45918,22096,48.12
20,1971,SCHNEIDER,EQ,177764,64850,36.48
20,1972,SCI,EQ,1510663,482926,31.97
20,1973,SCILAL,EQ,1159928,459880,39.65
20,1974,SCL24A,ZS,100,100,100.00
20,1975,SCLZC25F,Y5,7,7,100.00
20,1976,SCLZC26,NB,1,1,100.00
20,1977,SCLZC26C,NB,30,30,100.00
20,1978,SCML,SM,8000,8000,100.00
20,1979,SDBL,EQ,479829,233668,48.70
20,1980,SDL26BEES,EQ,3112,982,31.56
20,1981,SDREAMS,SM,95000,65000,68.42
20,1982,SEAMECLTD,EQ,23051,16596,72.00
20,1983,SECMARK,EQ,21337,9007,42.21
20,1984,SECURKLOUD,EQ,48299,19663,40.71
20,1985,SEJALLTD,EQ,15441,14657,94.92
20,1986,SEL,ST,400,400,100.00
20,1987,SELAN,EQ,33991,14839,43.66
20,1988,SENCO,EQ,208197,77812,37.37
20,1989,SENSEXADD,EQ,573,318,55.50
20,1990,SENSEXETF,EQ,11642,9068,77.89
20,1991,SENSEXIETF,EQ,2939,2092,71.18
20,1992,SEPC,EQ,11553711,4053624,35.09
20,1993,SERVICE,SM,8000,6000,75.00
20,1994,SERVOTECH,EQ,669378,313530,46.84
20,1995,SESHAPAPER,EQ,28907,15355,53.12
20,1996,SETF10GILT,EQ,117328,111239,94.81
20,1997,SETFGOLD,EQ,1943372,1619194,83.32
20,1998,SETFNIF50,EQ,660581,527741,79.89
20,1999,SETFNIFBK,EQ,69331,55799,80.48
20,2000,SETFNN50,EQ,41362,26097,63.09
20,2001,SFL,EQ,37109,22799,61.44
20,2002,SFLZC26A,ZC,190,190,100.00
20,2003,SGBAPR28I,GB,138,112,81.16
20,2004,SGBAUG27,GB,70,69,98.57
20,2005,SGBAUG28V,GB,348,282,81.03
20,2006,SGBAUG29V,GB,65,58,89.23
20,2007,SGBAUG30,GB,256,230,89.84
20,2008,SGBD29VIII,GB,39,24,61.54
20,2009,SGBDC27VII,GB,53,50,94.34
20,2010,SGBDE30III,GB,167,91,54.49
20,2011,SGBDE31III,GB,942,724,76.86
20,2012,SGBDEC25,GB,3,3,100.00
20,2013,SGBDEC2513,GB,1,1,100.00
20,2014,SGBDEC25XI,GB,1,1,100.00
20,2015,SGBFEB27,GB,25,20,80.00
20,2016,SGBFEB28IX,GB,1,1,100.00
20,2017,SGBFEB29XI,GB,37,21,56.76
20,2018,SGBFEB32IV,GB,693,548,79.08
20,2019,SGBJ28VIII,GB,6,2,33.33
20,2020,SGBJAN26,GB,7,7,100.00
20,2021,SGBJAN27,GB,3,3,100.00
20,2022,SGBJAN29IX,GB,207,181,87.44
20,2023,SGBJAN29X,GB,185,174,94.05
20,2024,SGBJAN30IX,GB,126,69,54.76
20,2025,SGBJU29III,GB,200,135,67.50
20,2026,SGBJUL25,GB,162,162,100.00
20,2027,SGBJUL27,GB,3,3,100.00
20,2028,SGBJUL28IV,GB,537,474,88.27
20,2029,SGBJUL29IV,GB,125,116,92.80
20,2030,SGBJUN28,GB,105,100,95.24
20,2031,SGBJUN29II,GB,112,108,96.43
20,2032,SGBJUN30,GB,57,57,100.00
20,2033,SGBJUN31I,GB,289,214,74.05
20,2034,SGBMAR25,GB,208,205,98.56
20,2035,SGBMAR28X,GB,55,54,98.18
20,2036,SGBMAR30X,GB,59,47,79.66
20,2037,SGBMAR31IV,GB,144,103,71.53
20,2038,SGBMAY25,GB,29,21,72.41
20,2039,SGBMAY26,GB,21,21,100.00
20,2040,SGBMAY28,GB,273,269,98.53
20,2041,SGBMAY29I,GB,160,154,96.25
20,2042,SGBMR29XII,GB,212,162,76.42
20,2043,SGBN28VIII,GB,138,106,76.81
20,2044,SGBNOV24,GB,286,250,87.41
20,2045,SGBNOV258,GB,9,6,66.67
20,2046,SGBNOV26,GB,17,17,100.00
20,2047,SGBNV29VII,GB,156,152,97.44
20,2048,SGBOC28VII,GB,516,330,63.95
20,2049,SGBOCT25IV,GB,5,3,60.00
20,2050,SGBOCT25V,GB,25,25,100.00
20,2051,SGBOCT27,GB,24,14,58.33
20,2052,SGBOCT27VI,GB,9,9,100.00
20,2053,SGBSEP27,GB,5,5,100.00
20,2054,SGBSEP28VI,GB,305,170,55.74
20,2055,SGBSEP29VI,GB,829,714,86.13
20,2056,SGBSEP31II,GB,1379,1164,84.41
20,2057,SGIL,EQ,20768,11365,54.72
20,2058,SHAILY,EQ,60901,21978,36.09
20,2059,SHALBY,EQ,30970,17767,57.37
20,2060,SHALPAINTS,EQ,64703,41769,64.55
20,2061,SHANKARA,EQ,70435,40018,56.82
20,2062,SHANTHALA,SM,2400,2400,100.00
