Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18102024,1124899511,0002515
Trade Date <18-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2196,SULA,EQ,264370,146360,55.36
20,2197,SUMICHEM,EQ,376246,172499,45.85
20,2198,SUMMITSEC,EQ,15906,6727,42.29
20,2199,SUNCLAY,EQ,42528,23850,56.08
20,2200,SUNDARAM,EQ,1129456,660762,58.50
20,2201,SUNDARMFIN,EQ,158841,41467,26.11
20,2202,SUNDARMHLD,EQ,116658,58772,50.38
20,2203,SUNDRMFAST,EQ,28725,13543,47.15
20,2204,SUNFLAG,EQ,209016,104941,50.21
20,2205,SUNLITE,SM,96000,75600,78.75
20,2206,SUNPHARMA,EQ,1203693,687753,57.14
20,2207,SUNTECK,EQ,250817,92456,36.86
20,2208,SUNTV,EQ,465458,314027,67.47
20,2209,SUPERHOUSE,EQ,23467,8093,34.49
20,2210,SUPRAJIT,EQ,175921,101147,57.50
20,2211,SUPREMEIND,EQ,127453,80400,63.08
20,2212,SUPREMEPWR,ST,37000,36000,97.30
20,2213,SUPRIYA,EQ,108955,44126,40.50
20,2214,SURAJEST,EQ,742818,412820,55.57
20,2215,SURANAT&P,EQ,225868,108502,48.04
20,2216,SURANI,SM,9000,7200,80.00
20,2217,SURYALAXMI,EQ,17722,10681,60.27
20,2218,SURYAROSNI,EQ,262013,75618,28.86
20,2219,SURYODAY,EQ,171434,88531,51.64
20,2220,SUTLEJTEX,EQ,141017,53119,37.67
20,2221,SUVEN,EQ,257873,149886,58.12
20,2222,SUVENPHAR,EQ,445076,295565,66.41
20,2223,SUVIDHAA,EQ,134146,92474,68.94
20,2224,SUYOG,EQ,34494,17838,51.71
20,2225,SUZLON,EQ,36018706,17716974,49.19
20,2226,SVLL,EQ,28826,20373,70.68
20,2227,SVPGLOB,EQ,112398,65712,58.46
20,2228,SWANENERGY,EQ,859926,300916,34.99
20,2229,SWARAJ,ST,20000,18000,90.00
20,2230,SWARAJENG,EQ,21275,10681,50.20
20,2231,SWASTIK,SM,10800,3600,33.33
20,2232,SWELECTES,EQ,17019,7274,42.74
20,2233,SWSOLAR,EQ,2106640,969917,46.04
20,2234,SYLVANPLY,SM,34000,28000,82.35
20,2235,SYMPHONY,EQ,114325,31031,27.14
20,2236,SYNCOMF,EQ,2879687,1062961,36.91
20,2237,SYNGENE,EQ,252024,134832,53.50
20,2238,SYNOPTICS,SM,4200,3600,85.71
20,2239,SYRMA,EQ,676657,233453,34.50
20,2240,SYSTANGO,SM,22400,16400,73.21
20,2241,TAC,ST,72000,67200,93.33
20,2242,TAINWALCHM,EQ,4180,2062,49.33
20,2243,TAJGVK,EQ,65615,31754,48.39
20,2244,TAKE,EQ,206185,167246,81.11
20,2245,TALBROAUTO,EQ,85797,47273,55.10
20,2246,TANLA,EQ,988765,297262,30.06
20,2247,TARACHAND,EQ,14040,8806,62.72
20,2248,TARC,EQ,183783,101062,54.99
20,2249,TARMAT,EQ,30427,23178,76.18
20,2250,TARSONS,EQ,34375,21257,61.84
20,2251,TASTYBITE,EQ,3622,1344,37.11
20,2252,TATACHEM,EQ,2178864,494892,22.71
20,2253,TATACOMM,EQ,669944,245597,36.66
20,2254,TATACONSUM,EQ,953926,487717,51.13
20,2255,TATAELXSI,EQ,72674,28878,39.74
20,2256,TATAGOLD,EQ,4128463,3043389,73.72
20,2257,TATAINVEST,EQ,32299,10886,33.70
20,2258,TATAMOTORS,EQ,11527914,3245025,28.15
20,2259,TATAPOWER,EQ,11045862,4084972,36.98
20,2260,TATASTEEL,EQ,34750795,11231365,32.32
20,2261,TATATECH,EQ,809483,331299,40.93
20,2262,TATSILV,EQ,1767894,1232829,69.73
20,2263,TATVA,EQ,36790,15919,43.27
20,2264,TBI,ST,19200,13200,68.75
20,2265,TBOTEK,EQ,16206,9620,59.36
20,2266,TBZ,EQ,860624,285652,33.19
20,2267,TCHF30,NB,373,178,47.72
20,2268,TCI,EQ,66221,27811,42.00
20,2269,TCIEXP,EQ,19395,11063,57.04
20,2270,TCL,SM,32800,18400,56.10
20,2271,TCPLPACK,EQ,2333,1147,49.16
20,2272,TCS,EQ,2361000,1297484,54.95
20,2273,TDPOWERSYS,EQ,254556,101301,39.80
20,2274,TEAMLEASE,EQ,28380,20224,71.26
20,2275,TECH,EQ,10418,8245,79.14
20,2276,TECHERA,SM,644800,408000,63.28
20,2277,TECHLABS,SM,93500,51500,55.08
20,2278,TECHM,EQ,3119646,1578898,50.61
20,2279,TECHNOE,EQ,103746,58966,56.84
20,2280,TEGA,EQ,21534,7323,34.01
20,2281,TEJASNET,EQ,2623188,602983,22.99
20,2282,TERASOFT,EQ,91993,45261,49.20
20,2283,TEXINFRA,EQ,173614,75428,43.45
20,2284,TEXMOPIPES,EQ,139274,94082,67.55
20,2285,TEXRAIL,EQ,2175553,760594,34.96
20,2286,TFCILTD,EQ,435134,193546,44.48
20,2287,TGBHOTELS,EQ,28054,15238,54.32
20,2288,TGL,ST,28800,27600,95.83
20,2289,THANGAMAYL,EQ,37216,15497,41.64
20,2290,THEINVEST,EQ,31862,9157,28.74
20,2291,THEJO,EQ,15945,8401,52.69
20,2292,THEMISMED,EQ,74978,23685,31.59
20,2293,THERMAX,EQ,33785,13752,40.70
20,2294,THESL,SM,60000,51000,85.00
20,2295,THOMASCOOK,EQ,796411,499568,62.73
20,2296,THOMASCOTT,EQ,22644,19920,87.97
20,2297,THYROCARE,EQ,39899,21319,53.43
20,2298,TI,EQ,598059,170138,28.45
20,2299,TIIL,EQ,10394,5226,50.28
20,2300,TIINDIA,EQ,89545,48922,54.63
20,2301,TIMESCAN,SM,6000,6000,100.00
20,2302,TIMESGTY,EQ,17269,3410,19.75
20,2303,TIMETECHNO,EQ,1081512,348522,32.23
20,2304,TIMKEN,EQ,102549,55504,54.12
20,2305,TIPSFILMS,EQ,9081,6028,66.38
20,2306,TIPSMUSIC,EQ,529935,189060,35.68
20,2307,TIRUMALCHM,EQ,192702,78407,40.69
20,2308,TIRUPATI,SM,1000,1000,100.00
20,2309,TITAGARH,EQ,3334370,679229,20.37
20,2310,TITAN,EQ,1249585,441626,35.34
20,2311,TMB,EQ,60692,33227,54.75
20,2312,TNIDETF,EQ,85049,67876,79.81
20,2313,TNPETRO,EQ,158170,87507,55.32
20,2314,TNPL,EQ,165588,108829,65.72
20,2315,TNTELE,EQ,21451,15060,70.21
20,2316,TOKYOPLAST,EQ,2965,2028,68.40
20,2317,TOLINS,EQ,55603,31344,56.37
20,2318,TOP100CASE,EQ,259204,210064,81.04
20,2319,TOP10ADD,EQ,79830,76107,95.34
20,2320,TORNTPHARM,EQ,187099,87212,46.61
20,2321,TORNTPOWER,EQ,739060,231821,31.37
20,2322,TOTAL,EQ,24537,8292,33.79
20,2323,TOUCHWOOD,EQ,996,584,58.63
20,2324,TRACXN,EQ,570008,176275,30.93
20,2325,TRANSTEEL,SM,60000,34000,56.67
20,2326,TREL,EQ,271040,142280,52.49
20,2327,TRENT,EQ,571161,332873,58.28
20,2328,TRF,EQ,46804,34062,72.78
20,2329,TRIDENT,EQ,4503465,1414393,31.41
20,2330,TRIDHYA,SM,573000,177000,30.89
20,2331,TRIGYN,EQ,55865,26179,46.86
20,2332,TRITURBINE,EQ,1618018,460569,28.47
20,2333,TRIVENI,EQ,605796,259380,42.82
20,2334,TROM,SM,28800,19200,66.67
20,2335,TRUST,SM,27600,25200,91.30
20,2336,TTKHLTCARE,EQ,5474,3604,65.84
20,2337,TTKPRESTIG,EQ,34895,14076,40.34
20,2338,TTL,EQ,12470,4697,37.67
20,2339,TTML,EQ,4232553,771032,18.22
20,2340,TUNWAL,SM,88000,60000,68.18
20,2341,TVSHLTD,EQ,4527,1971,43.54
20,2342,TVSMOTOR,EQ,570397,186924,32.77
20,2343,TVSSCS,EQ,527031,237977,45.15
20,2344,TVSSRICHAK,EQ,1536,829,53.97
20,2345,TVTODAY,EQ,71687,38875,54.23
20,2346,UBL,EQ,182227,120990,66.40
20,2347,UCAL,EQ,14770,7217,48.86
20,2348,UCL,SM,2000,2000,100.00
20,2349,UCOBANK,EQ,4760112,1277168,26.83
20,2350,UDAICEMENT,EQ,220156,135038,61.34
20,2351,UDS,EQ,104961,48648,46.35
20,2352,UFLEX,EQ,107888,42798,39.67
20,2353,UFO,EQ,86995,45005,51.73
20,2354,UGARSUGAR,EQ,111141,35572,32.01
20,2355,UGROCAP,EQ,177280,71206,40.17
20,2356,UJJIVANSFB,EQ,6386372,3364524,52.68
20,2357,ULTRACEMCO,EQ,330703,200964,60.77
20,2358,UMESLTD,EQ,26834,20382,75.96
20,2359,UNICHEMLAB,EQ,14791,6864,46.41
20,2360,UNIDT,EQ,7713,3872,50.20
20,2361,UNIECOM,EQ,678982,207316,30.53
20,2362,UNIENTER,EQ,6322,2422,38.31
20,2363,UNIHEALTH,SM,5000,3000,60.00
20,2364,UNIINFO,EQ,28068,13016,46.37
20,2365,UNILEX,SM,14400,14400,100.00
20,2366,UNIONBANK,EQ,11285455,4858181,43.05
20,2367,UNIPARTS,EQ,20410,10577,51.82
20,2368,UNITDSPR,EQ,709462,441466,62.23
20,2369,UNITEDTEA,EQ,6772,3191,47.12
20,2370,UNIVASTU,EQ,259819,117322,45.16
20,2371,UNIVCABLES,EQ,20831,9470,45.46
20,2372,UNIVPHOTO,EQ,429,194,45.22
20,2373,UNOMINDA,EQ,921425,661117,71.75
20,2374,UPL,EQ,1402020,480988,34.31
20,2375,URBAN,ST,3200,3200,100.00
20,2376,URJA,EQ,1665569,712706,42.79
20,2377,USASEEDS,SM,900,600,66.67
20,2378,USHAMART,EQ,1734058,498179,28.73
20,2379,UTIAMC,EQ,218898,69762,31.87
20,2380,UTIBANKETF,EQ,462767,422759,91.35
20,2381,UTINEXT50,EQ,121039,64381,53.19
20,2382,UTINIFTETF,EQ,146876,135275,92.10
20,2383,UTISENSETF,EQ,1886,1222,64.79
20,2384,UTISXN50,EQ,3113,2204,70.80
20,2385,UTKARSHBNK,EQ,1405524,615660,43.80
20,2386,UTSSAV,ST,67200,61200,91.07
20,2387,UTTAMSUGAR,EQ,97222,34233,35.21
20,2388,UWCSL,SM,2000,2000,100.00
20,2389,UYFINCORP,EQ,1777456,606685,34.13
20,2390,VADILALIND,EQ,4206,2036,48.41
20,2391,VAIBHAVGBL,EQ,285558,123917,43.39
20,2392,VAKRANGEE,EQ,17084061,8210988,48.06
20,2393,VALIANTLAB,EQ,53868,16635,30.88
20,2394,VALIANTORG,EQ,61979,26525,42.80
20,2395,VARDHACRLC,EQ,35285,17487,49.56
20,2396,VARROC,EQ,227274,100446,44.20
20,2397,VASCONEQ,EQ,775816,407369,52.51
20,2398,VBL,EQ,4908521,2656348,54.12
20,2399,VDEAL,SM,14400,8400,58.33
20,2400,VEDL,EQ,10334732,4327907,41.88
20,2401,VEEDOL,EQ,14956,7521,50.29
20,2402,VEEKAYEM,ST,1000,1000,100.00
20,2403,VELS,SM,1200,1200,100.00
20,2404,VENKEYS,EQ,65978,37505,56.84
20,2405,VENUSPIPES,EQ,96362,58587,60.80
20,2406,VENUSREM,EQ,14084,8659,61.48
20,2407,VERANDA,EQ,216854,148428,68.45
20,2408,VERITAAS,SM,10800,10800,100.00
20,2409,VERTEXPLUS,SM,2400,2400,100.00
20,2410,VERTOZ,EQ,12946278,3806453,29.40
20,2411,VESUVIUS,EQ,13765,6173,44.85
20,2412,VGUARD,EQ,161637,49507,30.63
20,2413,VHL,EQ,6593,3584,54.36
20,2414,VIAZ,SM,12000,8000,66.67
20,2415,VIDHIING,EQ,9515,5240,55.07
20,2416,VIESL,SM,185600,161600,87.07
20,2417,VIJAYA,EQ,268981,69156,25.71
20,2418,VIJIFIN,EQ,126544,105481,83.36
20,2419,VIKASECO,EQ,3054368,1431728,46.87
20,2420,VIKASLIFE,EQ,6459551,3778274,58.49
20,2421,VILAS,SM,106000,71000,66.98
20,2422,VILINBIO,SM,32000,20000,62.50
20,2423,VIMTALABS,EQ,22649,13787,60.87
20,2424,VINATIORGA,EQ,28264,18283,64.69
20,2425,VINCOFE,EQ,1447894,981024,67.76
20,2426,VINDHYATEL,EQ,16261,10363,63.73
20,2427,VINEETLAB,EQ,23397,14165,60.54
20,2428,VINSYS,SM,14000,8500,60.71
20,2429,VINYAS,ST,2400,2400,100.00
20,2430,VINYLINDIA,EQ,11897,5608,47.14
20,2431,VIPIND,EQ,432455,159167,36.81
20,2432,VIRINCHI,EQ,129838,70636,54.40
20,2433,VISAKAIND,EQ,264991,105542,39.83
20,2434,VISAMAN,SM,3000,3000,100.00
20,2435,VISHNU,EQ,186584,103757,55.61
20,2436,VISHNUINFR,ST,5000,3000,60.00
20,2437,VISHWARAJ,EQ,1351320,596072,44.11
20,2438,VISHWAS,SM,12800,11200,87.50
20,2439,VITAL,SM,14400,12000,83.33
20,2440,VIVIANA,ST,7500,7000,93.33
20,2441,VIVIDHA,EQ,559390,281201,50.27
20,2442,VLINFRA,ST,9000,9000,100.00
20,2443,VLSFINANCE,EQ,94525,42415,44.87
20,2444,VMARCIND,ST,19000,19000,100.00
20,2445,VMART,EQ,52134,39898,76.53
20,2446,VOLTAMP,EQ,27167,14605,53.76
20,2447,VOLTAS,EQ,1635928,907292,55.46
20,2448,VPRPL,EQ,9601404,1901361,19.80
20,2449,VR,ST,4800,4800,100.00
20,2450,VRAJ,EQ,135044,53347,39.50
20,2451,VRLLOG,EQ,60877,35723,58.68
20,2452,VSCL,SM,6000,6000,100.00
20,2453,VSSL,EQ,72244,37266,51.58
20,2454,VSTIND,EQ,178399,79877,44.77
20,2455,VSTL,EQ,51962,24807,47.74
20,2456,VSTTILLERS,EQ,2413,1475,61.13
20,2457,VTL,EQ,123807,49932,40.33
20,2458,WABAG,EQ,1894092,1138994,60.13
20,2459,WALCHANNAG,EQ,261603,140709,53.79
20,2460,WCIL,EQ,473648,136352,28.79
20,2461,WEBELSOLAR,EQ,385393,168787,43.80
20,2462,WEIZMANIND,EQ,97154,34064,35.06
20,2463,WEL,EQ,19442,10222,52.58
20,2464,WELCORP,EQ,396985,181165,45.64
20,2465,WELENT,EQ,170433,87398,51.28
20,2466,WELINV,EQ,1351,1056,78.16
20,2467,WELSPUNLIV,EQ,4909028,1848296,37.65
20,2468,WENDT,EQ,254,145,57.09
20,2469,WESTLIFE,EQ,20073,7863,39.17
20,2470,WEWIN,EQ,6796,4989,73.41
20,2471,WHEELS,EQ,31257,13219,42.29
20,2472,WHIRLPOOL,EQ,197269,146266,74.15
20,2473,WILLAMAGOR,EQ,38990,7385,18.94
20,2474,WINDLAS,EQ,40602,25017,61.62
20,2475,WINDMACHIN,EQ,458518,279082,60.87
20,2476,WINNY,SM,2000,1000,50.00
20,2477,WINSOL,SM,8000,6400,80.00
20,2478,WIPL,EQ,3109,1831,58.89
20,2479,WIPRO,EQ,37326527,9797097,26.25
20,2480,WOCKPHARMA,EQ,372286,162964,43.77
20,2481,WOL3D,SM,12000,10000,83.33
20,2482,WOMANCART,ST,1600,1600,100.00
20,2483,WONDERLA,EQ,36130,13202,36.54
20,2484,WORTH,EQ,45039,9836,21.84
20,2485,WSI,EQ,79248,46479,58.65
20,2486,WSTCSTPAPR,EQ,71381,36737,51.47
20,2487,WTICAB,SM,28000,21000,75.00
20,2488,XCHANGING,EQ,122507,68447,55.87
20,2489,XPROINDIA,EQ,20492,12058,58.84
20,2490,XTGLOBAL,EQ,122306,35543,29.06
20,2491,YAARI,EQ,737498,383246,51.97
20,2492,YASHO,EQ,7259,4338,59.76
20,2493,YASHOPTICS,SM,20800,16000,76.92
20,2494,YATHARTH,EQ,278318,80383,28.88
20,2495,YATRA,EQ,313695,251307,80.11
20,2496,YCCL,SM,6000,6000,100.00
20,2497,YESBANK,EQ,57339193,22809679,39.78
20,2498,YUDIZ,SM,8800,6400,72.73
20,2499,YUKEN,EQ,8062,5866,72.76
20,2500,ZEAL,SM,1800,1200,66.67
20,2501,ZEEL,EQ,41149717,8123204,19.74
20,2502,ZEELEARN,EQ,3368284,1067867,31.70
20,2503,ZENITHDRUG,ST,36800,30400,82.61
20,2504,ZENSARTECH,EQ,350811,185079,52.76
20,2505,ZENTEC,EQ,302509,103817,34.32
20,2506,ZFCVINDIA,EQ,14544,7273,50.01
20,2507,ZIMLAB,EQ,66624,40756,61.17
20,2508,ZODIACLOTH,EQ,3830,2235,58.36
20,2509,ZOMATO,EQ,108015952,55282833,51.18
20,2510,ZOTA,EQ,20161,18112,89.84
20,2511,ZTECH,ST,14400,14400,100.00
20,2512,ZUARI,EQ,103058,50178,48.69
20,2513,ZUARIIND,EQ,62463,37301,59.72
20,2514,ZYDUSLIFE,EQ,1368450,678743,49.60
20,2515,ZYDUSWELL,EQ,13439,6174,45.94
